   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       5        28      2015      0.18  
       5        29      2015      0.68  
       5        30      2015      0.02  
       5        31      2015      0.00  
       6         1      2015      0.00  
       6         2      2015      0.00  
       6         3      2015      0.00  
       6         4      2015      0.00  
       6         5      2015      0.77  
       6         6      2015      0.02  
       6         7      2015      0.00  
       6         8      2015      0.00  
       6         9      2015      0.00  
       6        10      2015      0.00  
       6        11      2015      0.00  
       6        12      2015      0.01  
       6        13      2015      0.38  
       6        14      2015      0.35  
       6        15      2015      0.24  
       6        16      2015      0.61  
       6        17      2015      0.02  
       6        18      2015      0.00  
       6        19      2015      0.00  
       6        20      2015      0.00  
       6        21      2015      0.00  
       6        22      2015      0.00  
       6        23      2015      0.00  
       6        24      2015      0.00  
       6        25      2015      0.00  
       6        26      2015      4.37  
       6        27      2015      0.00  
       6        28      2015      0.00  
       6        29      2015      0.00  
       6        30      2015      0.00  
       7         1      2015      2.05  
       7         2      2015      0.00  
       7         3      2015      0.27  
       7         4      2015      0.00  
       7         5      2015      0.00  
       7         6      2015      0.48  
       7         7      2015      0.83  
       7         8      2015      1.68  
       7         9      2015      0.00  
       7        10      2015      0.05  
       7        11      2015      0.00  
       7        12      2015      0.00  
       7        13      2015      0.00  
       7        14      2015      0.00  
       7        15      2015      0.05  
       7        16      2015      0.00  
       7        17      2015      0.00  
       7        18      2015      0.00  
       7        19      2015      0.00  
       7        20      2015      0.43  
       7        21      2015      0.00  
       7        22      2015      0.00  
       7        23      2015      0.00  
       7        24      2015      0.00  
       7        25      2015      0.00  
       7        26      2015      0.00  
       7        27      2015      0.00  
       7        28      2015      0.00  
       7        29      2015      0.00  
       7        30      2015      0.00  
       7        31      2015      0.00  
       8         1      2015      0.00  
       8         2      2015      0.00  
       8         3      2015      0.00  
       8         4      2015      0.01  
       8         5      2015      0.57  
       8         6      2015      0.00  
       8         7      2015      0.00  
       8         8      2015      0.59  
       8         9      2015      0.00  
       8        10      2015      0.87  
       8        11      2015      0.00  
       8        12      2015      0.00  
       8        13      2015      0.00  
       8        14      2015      0.00  
       8        15      2015      0.00  
       8        16      2015      0.00  
       8        17      2015      0.00  
       8        18      2015      0.04  
       8        19      2015      0.00  
       8        20      2015      0.00  
       8        21      2015      0.00  
       8        22      2015      0.00  
       8        23      2015      0.71  
       8        24      2015      0.00  
       8        25      2015      0.00  
       8        26      2015      0.00  
       8        27      2015      0.00  
       8        28      2015      0.04  
       8        29      2015      0.00  
       8        30      2015      0.00  
       8        31      2015      0.00  
       9         1      2015      0.00  
       9         2      2015      0.00  
       9         3      2015      0.00  
       9         4      2015      0.00  
       9         5      2015      0.00  
       9         6      2015      0.00  
       9         7      2015      4.48  
       9         8      2015      0.29  
       9         9      2015      0.00  
       9        10      2015      1.75  
       9        11      2015      0.06  
       9        12      2015      0.00  
       9        13      2015      0.00  
       9        14      2015      0.00  
       9        15      2015      0.06  
       9        16      2015      0.00  
       9        17      2015      0.00  
       9        18      2015      0.04  
       9        19      2015      0.00  
       9        20      2015      0.00  
       9        21      2015      0.00  
       9        22      2015      0.00  
       9        23      2015      0.00  
       9        24      2015      0.00  
       9        25      2015      0.00  
       9        26      2015      0.00  
       9        27      2015      0.00  
       9        28      2015      0.00  
       9        29      2015      0.00  
       9        30      2015      0.00  
      10         1      2015      0.00  
      10         2      2015      0.00  
      10         3      2015      0.00  
      10         4      2015      0.00  
      10         5      2015      0.00  
      10         6      2015      0.00  
      10         7      2015      0.00  
      10         8      2015      0.60  
      10         9      2015      0.01  
      10        10      2015      0.00  
