   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       6        17      2008      0.00  
       6        18      2008      0.00  
       6        19      2008      0.33  
       6        20      2008      0.00  
       6        21      2008      0.00  
       6        22      2008      0.00  
       6        23      2008      0.00  
       6        24      2008      0.78  
       6        25      2008      0.02  
       6        26      2008      0.94  
       6        27      2008      0.03  
       6        28      2008      0.04  
       6        29      2008      0.00  
       6        30      2008      0.00  
       7         1      2008      0.00  
       7         2      2008      0.29  
       7         3      2008      0.05  
       7         4      2008      0.00  
       7         5      2008      0.00  
       7         6      2008      0.00  
       7         7      2008      0.00  
       7         8      2008      0.22  
       7         9      2008      0.02  
       7        10      2008      0.00  
       7        11      2008      0.00  
       7        12      2008      0.10  
       7        13      2008      0.00  
       7        14      2008      0.00  
       7        15      2008      0.00  
       7        16      2008      0.00  
       7        17      2008      0.00  
       7        18      2008      0.00  
       7        19      2008      0.00  
       7        20      2008      0.00  
       7        21      2008      0.00  
       7        22      2008      3.68  
       7        23      2008      0.00  
       7        24      2008      0.49  
       7        25      2008      0.70  
       7        26      2008      0.00  
       7        27      2008      0.51  
       7        28      2008      1.32  
       7        29      2008      0.00  
       7        30      2008      1.83  
       7        31      2008      0.00  
       8         1      2008      0.00  
       8         2      2008      0.00  
       8         3      2008      0.00  
       8         4      2008      0.00  
       8         5      2008      0.00  
       8         6      2008      0.00  
       8         7      2008      0.00  
       8         8      2008      0.00  
       8         9      2008      0.00  
       8        10      2008      0.00  
       8        11      2008      0.00  
       8        12      2008      0.26  
       8        13      2008      0.00  
       8        14      2008      0.37  
       8        15      2008      0.00  
       8        16      2008      0.00  
       8        17      2008      0.00  
       8        18      2008      0.00  
       8        19      2008      0.00  
       8        20      2008      0.06  
       8        21      2008      0.95  
       8        22      2008      0.00  
       8        23      2008      0.00  
       8        24      2008      0.00  
       8        25      2008      0.00  
       8        26      2008      0.00  
       8        27      2008      0.00  
       8        28      2008      0.86  
       8        29      2008      0.00  
       8        30      2008      0.00  
       8        31      2008      0.00  
       9         1      2008      0.00  
       9         2      2008      0.15  
       9         3      2008      0.85  
       9         4      2008      2.01  
       9         5      2008      0.00  
       9         6      2008      0.00  
       9         7      2008      0.01  
       9         8      2008      0.00  
       9         9      2008      0.00  
       9        10      2008      0.00  
       9        11      2008      0.11  
       9        12      2008      1.76  
       9        13      2008      2.88  
       9        14      2008      1.31  
       9        15      2008      0.00  
       9        16      2008      0.00  
       9        17      2008      0.00  
       9        18      2008      0.00  
       9        19      2008      0.00  
       9        20      2008      0.00  
       9        21      2008      0.61  
       9        22      2008      0.00  
       9        23      2008      0.00  
       9        24      2008      0.00  
       9        25      2008      0.00  
       9        26      2008      0.00  
       9        27      2008      0.00  
       9        28      2008      0.00  
       9        29      2008      0.27  
       9        30      2008      0.00  
      10         1      2008      0.00  
      10         2      2008      0.00  
      10         3      2008      0.00  
      10         4      2008      0.00  
      10         5      2008      0.00  
      10         6      2008      0.01  
      10         7      2008      0.40  
      10         8      2008      0.00  
      10         9      2008      0.00  
      10        10      2008      0.00  
      10        11      2008      0.00  
      10        12      2008      0.00  
      10        13      2008      0.00  
      10        14      2008      0.17  
      10        15      2008      0.19  
      10        16      2008      0.00  
      10        17      2008      0.00  
      10        18      2008      0.00  
      10        19      2008      0.00  
      10        20      2008      0.00  
      10        21      2008      0.08  
      10        22      2008      0.23  
      10        23      2008      0.28  
      10        24      2008      0.03  
      10        25      2008      0.00  
      10        26      2008      0.00  
      10        27      2008      0.00  
      10        28      2008      0.00  
      10        29      2008      0.00  
      10        30      2008      0.00  
