   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       5         8      2014      1.04  
       5         9      2014      0.37  
       5        10      2014      0.00  
       5        11      2014      0.00  
       5        12      2014      0.85  
       5        13      2014      0.02  
       5        14      2014      0.11  
       5        15      2014      0.00  
       5        16      2014      0.00  
       5        17      2014      0.00  
       5        18      2014      0.00  
       5        19      2014      0.00  
       5        20      2014      0.00  
       5        21      2014      0.00  
       5        22      2014      0.00  
       5        23      2014      0.00  
       5        24      2014      0.57  
       5        25      2014      0.00  
       5        26      2014      0.10  
       5        27      2014      0.32  
       5        28      2014      0.00  
       5        29      2014      0.00  
       5        30      2014      0.10  
       5        31      2014      0.00  
       6         1      2014      0.00  
       6         2      2014      0.39  
       6         3      2014      0.00  
       6         4      2014      1.02  
       6         5      2014      3.42  
       6         6      2014      1.90  
       6         7      2014      0.05  
       6         8      2014      0.14  
       6         9      2014      1.18  
       6        10      2014      0.00  
       6        11      2014      0.02  
       6        12      2014      0.01  
       6        13      2014      0.01  
       6        14      2014      0.00  
       6        15      2014      0.30  
       6        16      2014      0.00  
       6        17      2014      0.00  
       6        18      2014      0.00  
       6        19      2014      0.00  
       6        20      2014      0.00  
       6        21      2014      0.00  
       6        22      2014      0.00  
       6        23      2014      0.11  
       6        24      2014      0.00  
       6        25      2014      0.00  
       6        26      2014      0.02  
       6        27      2014      0.00  
       6        28      2014      0.48  
       6        29      2014      0.02  
       6        30      2014      0.00  
       7         1      2014      0.00  
       7         2      2014      0.00  
       7         3      2014      0.00  
       7         4      2014      0.00  
       7         5      2014      0.00  
       7         6      2014      0.31  
       7         7      2014      0.00  
       7         8      2014      0.12  
       7         9      2014      0.00  
       7        10      2014      0.00  
       7        11      2014      0.00  
       7        12      2014      0.00  
       7        13      2014      0.09  
       7        14      2014      0.03  
       7        15      2014      0.00  
       7        16      2014      0.00  
       7        17      2014      0.03  
       7        18      2014      0.00  
       7        19      2014      0.00  
       7        20      2014      0.00  
       7        21      2014      0.00  
       7        22      2014      0.00  
       7        23      2014      0.00  
       7        24      2014      0.00  
       7        25      2014      0.00  
       7        26      2014      0.00  
       7        27      2014      0.00  
       7        28      2014      0.00  
       7        29      2014      0.00  
       7        30      2014      0.97  
       7        31      2014      0.00  
       8         1      2014      0.01  
       8         2      2014      0.00  
       8         3      2014      0.00  
       8         4      2014      0.00  
       8         5      2014      0.00  
       8         6      2014      0.00  
       8         7      2014      0.72  
       8         8      2014      0.00  
       8         9      2014      0.02  
       8        10      2014      0.00  
       8        11      2014      0.00  
       8        12      2014      0.00  
       8        13      2014      0.00  
       8        14      2014      0.00  
       8        15      2014      0.00  
       8        16      2014      0.00  
       8        17      2014      0.00  
       8        18      2014      0.00  
       8        19      2014      0.00  
       8        20      2014      0.00  
       8        21      2014      0.00  
       8        22      2014      0.00  
       8        23      2014      0.00  
       8        24      2014      0.00  
       8        25      2014      0.00  
       8        26      2014      0.04  
       8        27      2014      0.00  
       8        28      2014      0.00  
       8        29      2014      0.05  
       8        30      2014      0.09  
       8        31      2014      0.00  
       9         1      2014      1.06  
       9         2      2014      1.98  
       9         3      2014      0.00  
       9         4      2014      0.00  
       9         5      2014      0.00  
       9         6      2014      0.23  
       9         7      2014      0.00  
       9         8      2014      0.00  
       9         9      2014      0.00  
       9        10      2014      0.00  
       9        11      2014      0.00  
       9        12      2014      0.00  
       9        13      2014      0.00  
       9        14      2014      0.00  
       9        15      2014      0.03  
       9        16      2014      0.00  
       9        17      2014      0.69  
       9        18      2014      0.30  
       9        19      2014      0.00  
       9        20      2014      0.00  
