   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       8        31      2017      3.43  
       9         1      2017      0.01  
       9         2      2017      0.00  
       9         3      2017      0.00  
       9         4      2017      0.00  
       9         5      2017      0.00  
       9         6      2017      0.00  
       9         7      2017      0.00  
       9         8      2017      0.00  
       9         9      2017      0.00  
       9        10      2017      0.00  
       9        11      2017      0.00  
       9        12      2017      0.25  
       9        13      2017      0.01  
       9        14      2017      0.00  
       9        15      2017      0.00  
       9        16      2017      0.00  
       9        17      2017      0.00  
       9        18      2017      0.00  
       9        19      2017      0.00  
       9        20      2017      0.00  
       9        21      2017      0.00  
       9        22      2017      0.00  
       9        23      2017      0.00  
       9        24      2017      0.00  
       9        25      2017      0.00  
       9        26      2017      0.00  
       9        27      2017      0.00  
       9        28      2017      0.00  
       9        29      2017      0.00  
       9        30      2017      0.00  
      10         1      2017      0.00  
      10         2      2017      0.00  
      10         3      2017      0.00  
      10         4      2017      0.00  
      10         5      2017      0.00  
      10         6      2017      0.00  
      10         7      2017      0.00  
      10         8      2017      0.01  
      10        11      2017      0.00  
      10        12      2017      0.00  
      10        13      2017      0.00  
      10        14      2017      0.00  
      10        15      2017      0.15  
      10        16      2017      0.00  
      10        17      2017      0.00  
      10        18      2017      0.00  
      10        19      2017      0.00  
      10        20      2017      0.00  
      10        21      2017      0.00  
      10        22      2017      0.32  
      10        23      2017      0.01  
      10        24      2017      0.00  
      10        25      2017      0.00  
      10        26      2017      0.00  
      10        27      2017      0.34  
      10        28      2017      0.00  
      10        29      2017      0.00  
      10        30      2017      0.00  
      10        31      2017      0.08  
      11         1      2017      0.25  
      11         2      2017      0.00  
      11         3      2017      0.00  
      11         4      2017      0.00  
      11         9      2017      0.00  
      11        10      2017      0.00  
      11        11      2017      0.00  
      11        12      2017      0.00  
      11        13      2017      0.00  
      11        14      2017      0.00  
      11        15      2017      0.57  
      11        16      2017      0.00  
      11        17      2017      0.00  
      11        18      2017      0.35  
      11        19      2017      0.00  
      11        20      2017      0.00  
      11        21      2017      0.00  
      11        22      2017      0.00  
      11        23      2017      0.00  
      11        24      2017      0.00  
      11        25      2017      0.00  
      11        26      2017      0.00  
      11        27      2017      0.00  
      11        28      2017      0.00  
      11        29      2017      0.00  
      11        30      2017      0.00  
      12         1      2017      0.00  
      12         2      2017      0.00  
      12         3      2017      0.00  
      12         4      2017      0.48  
      12         5      2017      0.30  
      12         6      2017      0.00  
      12         7      2017      0.00  
      12         8      2017      0.00  
      12         9      2017      0.00  
      12        10      2017      0.00  
      12        11      2017      0.00  
      12        12      2017      0.00  
      12        13      2017      0.00  
      12        14      2017      0.00  
      12        15      2017      0.00  
      12        16      2017      0.00  
      12        17      2017      0.34  
      12        18      2017      0.00  
      12        19      2017      0.01  
      12        20      2017      0.34  
      12        21      2017      0.00  
      12        22      2017      1.98  
      12        23      2017      0.19  
      12        24      2017      0.01  
      12        25      2017      0.00  
      12        26      2017      0.00  
      12        27      2017      0.00  
      12        28      2017      0.00  
      12        29      2017      0.00  
      12        30      2017      0.00  
      12        31      2017      0.00  
       1         1      2018      0.00  
       1         2      2018      0.00  
       1         3      2018      0.00  
       1         4      2018      0.00  
       1         5      2018      0.00  
       1         6      2018      0.00  
       1         7      2018      0.37  
       1         8      2018      0.49  
       1         9      2018      0.01  
       1        10      2018      0.03  
       1        11      2018      0.30  
       1        12      2018      0.05  
       1        13      2018      0.00  
       1        14      2018      0.01  
       1        15      2018      0.01  
       1        16      2018      0.00  
       1        17      2018      0.00  
       1        18      2018      0.00  
       1        19      2018      0.01  
