01/01/2000 0.0026
spi frequency percentage rankingpercentile
-2.8 1 0.35 2.17
-2.7 2 0.7 4.35
-2.5 1 0.35 6.52
-2.2 3 1.05 8.7
-2 1 0.35 10.87
-1.8 2 0.7 13.04
-1.7 2 0.7 15.22
-1.6 5 1.75 17.39
-1.5 5 1.75 19.57
-1.4 1 0.35 21.74
-1.3 7 2.45 23.91
-1.2 6 2.1 26.09
-1.1 5 1.75 28.26
-1 9 3.15 30.43
-0.9 8 2.8 32.61
-0.8 8 2.8 34.78
-0.7 8 2.8 36.96
-0.6 11 3.85 39.13
-0.5 12 4.2 41.3
-0.4 10 3.5 43.48
-0.3 10 3.5 45.65
-0.2 4 1.4 47.83
-0.1 13 4.55 50
0 12 4.2 52.17
0.1 14 4.9 54.35
0.2 14 4.9 56.52
0.3 5 1.75 58.7
0.4 11 3.85 60.87
0.5 6 2.1 63.04
0.6 8 2.8 65.22
0.7 13 4.55 67.39
0.8 12 4.2 69.57
0.9 8 2.8 71.74
1 6 2.1 73.91
1.1 5 1.75 76.09
1.2 4 1.4 78.26
1.3 6 2.1 80.43
1.4 7 2.45 82.61
1.5 5 1.75 84.78
1.6 2 0.7 86.96
1.7 2 0.7 89.13
1.8 3 1.05 91.3
1.9 5 1.75 93.48
2 2 0.7 95.65
2.1 1 0.35 97.83
2.6 1 0.35 100
