08/01/2019 0.2916
spi frequency percentage rankingpercentile
-1.7 3 5.88 3.85
-1.5 2 3.92 7.69
-1.2 2 3.92 11.54
-1.1 1 1.96 15.38
-1 3 5.88 19.23
-0.8 1 1.96 23.08
-0.7 3 5.88 26.92
-0.6 3 5.88 30.77
-0.5 4 7.84 34.62
-0.3 1 1.96 38.46
0 3 5.88 42.31
0.1 2 3.92 46.15
0.2 2 3.92 50
0.3 3 5.88 53.85
0.4 1 1.96 57.69
0.5 2 3.92 61.54
0.6 2 3.92 65.38
0.7 1 1.96 69.23
0.8 1 1.96 73.08
1 2 3.92 76.92
1.2 1 1.96 80.77
1.4 2 3.92 84.62
1.5 2 3.92 88.46
1.6 1 1.96 92.31
1.7 2 3.92 96.15
1.8 1 1.96 100
