01/01/2000 0.0213
start_date end_date duration peak sum average median
04/01/2000 06/01/2000 2 -1.35 -1.7 -0.85 -0.85
12/01/2000 01/01/2001 1 -1.18 -1.18 -1.18 -1.18
11/01/2001 01/01/2002 2 -1.09 -1.27 -0.63 -0.63
03/01/2002 04/01/2002 1 -2.22 -2.22 -2.22 -2.22
09/01/2002 10/01/2002 1 -1.47 -1.47 -1.47 -1.47
11/01/2002 02/01/2003 3 -1.31 -2.81 -0.94 -0.92
03/01/2003 04/01/2003 1 -1.4 -1.4 -1.4 -1.4
10/01/2003 11/01/2003 1 -1.29 -1.29 -1.29 -1.29
02/01/2004 03/01/2004 1 -1.23 -1.23 -1.23 -1.23
03/01/2005 06/01/2005 3 -1.08 -1.97 -0.66 -0.66
07/01/2005 08/01/2005 1 -1.14 -1.14 -1.14 -1.14
02/01/2006 03/01/2006 1 -1.76 -1.76 -1.76 -1.76
01/01/2007 02/01/2007 1 -1.36 -1.36 -1.36 -1.36
07/01/2007 10/01/2007 3 -1.17 -1.82 -0.61 -0.35
11/01/2007 12/01/2007 1 -1.25 -1.25 -1.25 -1.25
01/01/2009 02/01/2009 1 -1.36 -1.36 -1.36 -1.36
10/01/2010 11/01/2010 1 -2.68 -2.68 -2.68 -2.68
01/01/2011 02/01/2011 1 -1.09 -1.09 -1.09 -1.09
10/01/2011 11/01/2011 1 -2.28 -2.28 -2.28 -2.28
06/01/2012 09/01/2012 3 -1.84 -3.67 -1.22 -1.61
07/01/2013 10/01/2013 3 -2.27 -4.09 -1.36 -1.56
01/01/2014 04/01/2014 3 -1.64 -4.08 -1.36 -1.25
05/01/2014 06/01/2014 1 -2.76 -2.76 -2.76 -2.76
08/01/2015 11/01/2015 3 -1.44 -3.01 -1 -1.22
02/01/2016 04/01/2016 2 -1.2 -1.6 -0.8 -0.8
11/01/2016 01/01/2017 2 -1.22 -1.6 -0.8 -0.8
09/01/2017 10/01/2017 1 -1.46 -1.46 -1.46 -1.46
11/01/2017 01/01/2018 2 -3.01 -4.62 -2.31 -2.31
04/01/2018 08/01/2018 4 -2.81 -5.46 -1.37 -1.17
08/01/2020 09/01/2020 1 -1.3 -1.3 -1.3 -1.3
10/01/2020 11/01/2020 1 -1.12 -1.12 -1.12 -1.12
02/01/2021 03/01/2021 1 -2.01 -2.01 -2.01 -2.01
08/01/2021 10/01/2021 2 -1.23 -2.22 -1.11 -1.11
11/01/2021 03/01/2022 4 -1.13 -2.38 -0.59 -0.58
09/01/2022 11/01/2022 2 -1.22 -1.88 -0.94 -0.94
04/01/2023 08/01/2023 4 -2.38 -7.69 -1.92 -1.81
