05/01/2015 0.22
spi frequency percentage rankingpercentile
-2.1 2 1.96 2.5
-2 1 0.98 5
-1.9 1 0.98 7.5
-1.8 1 0.98 10
-1.7 3 2.94 12.5
-1.5 1 0.98 15
-1.4 1 0.98 17.5
-1.3 1 0.98 20
-1.2 1 0.98 22.5
-1.1 2 1.96 25
-1 2 1.96 27.5
-0.9 3 2.94 30
-0.8 6 5.88 32.5
-0.7 3 2.94 35
-0.6 1 0.98 37.5
-0.5 6 5.88 40
-0.4 4 3.92 42.5
-0.3 4 3.92 45
-0.2 4 3.92 47.5
-0.1 3 2.94 50
0 1 0.98 52.5
0.1 6 5.88 55
0.2 4 3.92 57.5
0.3 5 4.9 60
0.4 4 3.92 62.5
0.5 2 1.96 65
0.6 3 2.94 67.5
0.7 3 2.94 70
0.8 2 1.96 72.5
0.9 3 2.94 75
1 3 2.94 77.5
1.1 4 3.92 80
1.2 2 1.96 82.5
1.4 1 0.98 85
1.5 2 1.96 87.5
1.7 1 0.98 90
1.8 1 0.98 92.5
1.9 2 1.96 95
2 2 1.96 97.5
2.2 1 0.98 100
