01/01/2000 0.0848
start_date end_date duration peak sum average median
12/01/2000 02/01/2001 2 -2.26 -2.78 -1.39 -1.39
04/01/2001 09/01/2001 5 -3.18 -5.81 -1.16 -0.71
09/01/2004 10/01/2004 1 -3.1 -3.1 -3.1 -3.1
05/01/2005 07/01/2005 2 -2.97 -3.32 -1.66 -1.66
10/01/2005 01/01/2006 3 -2.67 -5.49 -1.83 -2.44
03/01/2007 09/01/2007 6 -2.4 -6.62 -1.1 -0.96
06/01/2008 08/01/2008 2 -2.39 -4.14 -2.07 -2.07
08/01/2010 09/01/2010 1 -2.66 -2.66 -2.66 -2.66
10/01/2010 11/01/2010 1 -2.17 -2.17 -2.17 -2.17
01/01/2011 02/01/2011 1 -2.62 -2.62 -2.62 -2.62
