01/01/2000 0.2106
spi frequency percentage rankingpercentile
-3.1 1 0.35 2.04
-2.6 1 0.35 4.08
-2.3 1 0.35 6.12
-2.2 3 1.05 8.16
-2.1 3 1.05 10.2
-2 2 0.7 12.24
-1.9 1 0.35 14.29
-1.7 5 1.75 16.33
-1.6 1 0.35 18.37
-1.5 1 0.35 20.41
-1.4 2 0.7 22.45
-1.3 7 2.45 24.49
-1.2 5 1.75 26.53
-1.1 4 1.4 28.57
-1 11 3.85 30.61
-0.9 9 3.15 32.65
-0.8 11 3.85 34.69
-0.7 9 3.15 36.73
-0.6 10 3.5 38.78
-0.5 6 2.1 40.82
-0.4 7 2.45 42.86
-0.3 11 3.85 44.9
-0.2 8 2.8 46.94
-0.1 14 4.9 48.98
0 9 3.15 51.02
0.1 15 5.24 53.06
0.2 14 4.9 55.1
0.3 8 2.8 57.14
0.4 11 3.85 59.18
0.5 13 4.55 61.22
0.6 11 3.85 63.27
0.7 9 3.15 65.31
0.8 5 1.75 67.35
0.9 7 2.45 69.39
1 8 2.8 71.43
1.1 7 2.45 73.47
1.2 6 2.1 75.51
1.3 6 2.1 77.55
1.4 6 2.1 79.59
1.5 3 1.05 81.63
1.6 3 1.05 83.67
1.7 2 0.7 85.71
1.8 1 0.35 87.76
1.9 3 1.05 89.8
2 1 0.35 91.84
2.1 1 0.35 93.88
2.2 1 0.35 95.92
2.4 1 0.35 97.96
2.7 2 0.7 100
