06/01/2008 0.1529
start_date end_date duration peak sum average median
01/01/2009 02/01/2009 1 -2.32 -2.32 -2.32 -2.32
10/01/2010 12/01/2010 2 -1.58 -2.05 -1.03 -1.03
01/01/2011 02/01/2011 1 -1.32 -1.32 -1.32 -1.32
07/01/2011 11/01/2011 4 -1.17 -3.31 -0.83 -0.89
05/01/2012 01/01/2013 8 -1.91 -8.35 -1.04 -0.98
07/01/2013 10/01/2013 3 -1.19 -2.8 -0.93 -1.18
01/01/2014 04/01/2014 3 -2.24 -4.42 -1.47 -1.12
03/01/2015 05/01/2015 2 -1.05 -1.47 -0.74 -0.74
10/01/2015 11/01/2015 1 -1.13 -1.13 -1.13 -1.13
02/01/2016 07/01/2016 5 -1.63 -5.32 -1.06 -1.13
02/01/2017 04/01/2017 2 -2.27 -2.63 -1.31 -1.31
11/01/2017 01/01/2018 2 -2.3 -3.52 -1.76 -1.76
04/01/2018 06/01/2018 2 -2.28 -2.99 -1.5 -1.5
09/01/2018 10/01/2018 1 -1 -1 -1 -1
12/01/2020 01/01/2021 1 -1.12 -1.12 -1.12 -1.12
08/01/2021 10/01/2021 2 -2.19 -2.33 -1.16 -1.16
04/01/2023 07/01/2023 3 -1.99 -4.02 -1.34 -1.91
