06/01/2008 0.1529
spi frequency percentage rankingpercentile
-2.3 4 2.16 2.38
-2.2 2 1.08 4.76
-2 1 0.54 7.14
-1.9 3 1.62 9.52
-1.8 1 0.54 11.9
-1.6 3 1.62 14.29
-1.4 1 0.54 16.67
-1.3 3 1.62 19.05
-1.2 4 2.16 21.43
-1.1 5 2.7 23.81
-1 6 3.24 26.19
-0.9 6 3.24 28.57
-0.8 1 0.54 30.95
-0.7 7 3.78 33.33
-0.6 4 2.16 35.71
-0.5 9 4.86 38.1
-0.4 9 4.86 40.48
-0.3 1 0.54 42.86
-0.2 7 3.78 45.24
-0.1 9 4.86 47.62
0 5 2.7 50
0.1 8 4.32 52.38
0.2 7 3.78 54.76
0.3 8 4.32 57.14
0.4 11 5.95 59.52
0.5 7 3.78 61.9
0.6 5 2.7 64.29
0.7 9 4.86 66.67
0.8 5 2.7 69.05
0.9 3 1.62 71.43
1 3 1.62 73.81
1.1 3 1.62 76.19
1.2 7 3.78 78.57
1.3 2 1.08 80.95
1.4 5 2.7 83.33
1.5 1 0.54 85.71
1.6 1 0.54 88.1
1.7 2 1.08 90.48
1.8 2 1.08 92.86
2.1 2 1.08 95.24
2.2 2 1.08 97.62
2.7 1 0.54 100
