01/01/2000 0.0219
spi frequency percentage rankingpercentile
-2.6 1 0.35 2.08
-2.4 2 0.7 4.17
-2.2 3 1.05 6.25
-2.1 2 0.7 8.33
-2 1 0.35 10.42
-1.9 1 0.35 12.5
-1.8 3 1.05 14.58
-1.7 4 1.4 16.67
-1.6 2 0.7 18.75
-1.5 5 1.75 20.83
-1.4 5 1.75 22.92
-1.3 3 1.05 25
-1.2 6 2.1 27.08
-1.1 4 1.4 29.17
-1 7 2.45 31.25
-0.9 4 1.4 33.33
-0.8 10 3.5 35.42
-0.7 5 1.75 37.5
-0.6 8 2.8 39.58
-0.5 14 4.9 41.67
-0.4 10 3.5 43.75
-0.3 9 3.15 45.83
-0.2 10 3.5 47.92
-0.1 14 4.9 50
0 10 3.5 52.08
0.1 13 4.55 54.17
0.2 14 4.9 56.25
0.3 18 6.29 58.33
0.4 11 3.85 60.42
0.5 10 3.5 62.5
0.6 9 3.15 64.58
0.7 11 3.85 66.67
0.8 7 2.45 68.75
0.9 5 1.75 70.83
1 9 3.15 72.92
1.2 4 1.4 75
1.3 5 1.75 77.08
1.4 1 0.35 79.17
1.5 6 2.1 81.25
1.6 2 0.7 83.33
1.7 2 0.7 85.42
1.8 4 1.4 87.5
1.9 2 0.7 89.58
2 3 1.05 91.67
2.1 2 0.7 93.75
2.2 2 0.7 95.83
2.3 2 0.7 97.92
2.9 1 0.35 100
