01/01/2000 0.0277
spi frequency percentage rankingpercentile
-2.4 2 0.7 2.13
-2.3 2 0.7 4.26
-2.2 1 0.35 6.38
-2 6 2.1 8.51
-1.9 3 1.05 10.64
-1.8 3 1.05 12.77
-1.7 1 0.35 14.89
-1.6 2 0.7 17.02
-1.5 5 1.75 19.15
-1.4 4 1.4 21.28
-1.3 3 1.05 23.4
-1.2 2 0.7 25.53
-1.1 8 2.8 27.66
-1 6 2.1 29.79
-0.9 9 3.15 31.91
-0.8 6 2.1 34.04
-0.7 7 2.45 36.17
-0.6 14 4.9 38.3
-0.5 6 2.1 40.43
-0.4 7 2.45 42.55
-0.3 9 3.15 44.68
-0.2 13 4.55 46.81
-0.1 15 5.24 48.94
0 13 4.55 51.06
0.1 11 3.85 53.19
0.2 11 3.85 55.32
0.3 11 3.85 57.45
0.4 12 4.2 59.57
0.5 16 5.59 61.7
0.6 12 4.2 63.83
0.7 8 2.8 65.96
0.8 9 3.15 68.09
0.9 4 1.4 70.21
1 2 0.7 72.34
1.1 9 3.15 74.47
1.2 8 2.8 76.6
1.3 4 1.4 78.72
1.4 2 0.7 80.85
1.5 3 1.05 82.98
1.6 1 0.35 85.11
1.7 3 1.05 87.23
1.8 1 0.35 89.36
1.9 2 0.7 91.49
2.1 1 0.35 93.62
2.2 5 1.75 95.74
2.3 3 1.05 97.87
2.9 1 0.35 100
