01/01/2000 0.0013
start_date end_date duration peak sum average median
05/01/2000 06/01/2000 1 -1.75 -1.75 -1.75 -1.75
12/01/2000 01/01/2001 1 -1.38 -1.38 -1.38 -1.38
05/01/2001 06/01/2001 1 -1.08 -1.08 -1.08 -1.08
08/01/2001 09/01/2001 1 -1.45 -1.45 -1.45 -1.45
06/01/2002 10/01/2002 4 -2.51 -3.23 -0.81 -0.35
12/01/2002 04/01/2003 4 -1.71 -3.45 -0.86 -0.75
07/01/2003 11/01/2003 4 -2.51 -5.37 -1.34 -1.03
04/01/2004 05/01/2004 1 -1.39 -1.39 -1.39 -1.39
06/01/2004 07/01/2004 1 -1.04 -1.04 -1.04 -1.04
09/01/2004 01/01/2005 4 -1.29 -2.89 -0.72 -0.76
03/01/2005 04/01/2005 1 -1.13 -1.13 -1.13 -1.13
09/01/2005 10/01/2005 1 -1.45 -1.45 -1.45 -1.45
02/01/2006 03/01/2006 1 -1.64 -1.64 -1.64 -1.64
05/01/2006 08/01/2006 3 -1.04 -2.37 -0.79 -0.66
06/01/2007 08/01/2007 2 -1.54 -1.93 -0.96 -0.96
11/01/2007 12/01/2007 1 -1.94 -1.94 -1.94 -1.94
08/01/2008 09/01/2008 1 -1.79 -1.79 -1.79 -1.79
01/01/2009 03/01/2009 2 -1.84 -2.32 -1.16 -1.16
05/01/2009 06/01/2009 1 -1.21 -1.21 -1.21 -1.21
12/01/2010 04/01/2011 4 -1.43 -3.75 -0.94 -1
09/01/2011 11/01/2011 2 -3.03 -4.91 -2.45 -2.45
01/01/2012 02/01/2012 1 -1.48 -1.48 -1.48 -1.48
05/01/2012 08/01/2012 3 -1.52 -3.18 -1.06 -1.3
03/01/2013 04/01/2013 1 -1.32 -1.32 -1.32 -1.32
07/01/2013 09/01/2013 2 -1.19 -1.89 -0.94 -0.94
01/01/2014 06/01/2014 5 -2.65 -5.71 -1.14 -0.94
11/01/2014 12/01/2014 1 -1.88 -1.88 -1.88 -1.88
03/01/2016 04/01/2016 1 -1.05 -1.05 -1.05 -1.05
06/01/2016 07/01/2016 1 -1.55 -1.55 -1.55 -1.55
11/01/2017 02/01/2018 3 -1.42 -2.55 -0.85 -0.91
04/01/2018 06/01/2018 2 -2.35 -3.22 -1.61 -1.61
02/01/2020 03/01/2020 1 -1.73 -1.73 -1.73 -1.73
08/01/2020 11/01/2020 3 -1.9 -2.75 -0.92 -0.79
02/01/2021 03/01/2021 1 -1.18 -1.18 -1.18 -1.18
04/01/2021 05/01/2021 1 -1.03 -1.03 -1.03 -1.03
02/01/2022 03/01/2022 1 -1.38 -1.38 -1.38 -1.38
08/01/2022 11/01/2022 3 -1.22 -2.79 -0.93 -0.83
