01/01/2000 0.1068
start_date end_date duration peak sum average median
04/01/2000 06/01/2000 2 -1.82 -2.37 -1.18 -1.18
01/01/2003 02/01/2003 1 -2.2 -2.2 -2.2 -2.2
03/01/2003 05/01/2003 2 -1.6 -2.13 -1.06 -1.06
09/01/2004 10/01/2004 1 -2.58 -2.58 -2.58 -2.58
05/01/2005 07/01/2005 2 -1.65 -2.12 -1.06 -1.06
12/01/2005 01/01/2006 1 -2.4 -2.4 -2.4 -2.4
03/01/2007 09/01/2007 6 -2.34 -6.78 -1.13 -0.92
06/01/2010 09/01/2010 3 -1.72 -3.75 -1.25 -1.54
10/01/2010 11/01/2010 1 -1.9 -1.9 -1.9 -1.9
01/01/2011 02/01/2011 1 -2.35 -2.35 -2.35 -2.35
04/01/2012 09/01/2012 5 -2.92 -6.32 -1.26 -0.94
02/01/2014 04/01/2014 2 -1.67 -2.73 -1.36 -1.36
02/01/2015 03/01/2015 1 -1.82 -1.82 -1.82 -1.82
10/01/2015 11/01/2015 1 -1.5 -1.5 -1.5 -1.5
02/01/2017 04/01/2017 2 -1.5 -2.13 -1.06 -1.06
09/01/2017 02/01/2018 5 -1.55 -3.34 -0.67 -0.65
06/01/2022 08/01/2022 2 -2.17 -3.71 -1.85 -1.85
