01/01/2000 0.1068
start_date end_date duration peak sum average median
04/01/2000 06/01/2000 2 -1.82 -2.37 -1.18 -1.18
01/01/2001 02/01/2001 1 -1.06 -1.06 -1.06 -1.06
04/01/2001 07/01/2001 3 -1.34 -2.68 -0.89 -0.73
08/01/2001 10/01/2001 2 -1.33 -2.2 -1.1 -1.1
07/01/2002 08/01/2002 1 -1.1 -1.1 -1.1 -1.1
01/01/2003 02/01/2003 1 -2.2 -2.2 -2.2 -2.2
03/01/2003 05/01/2003 2 -1.6 -2.13 -1.06 -1.06
02/01/2004 07/01/2004 5 -1.24 -3.16 -0.63 -0.47
09/01/2004 10/01/2004 1 -2.58 -2.58 -2.58 -2.58
12/01/2004 01/01/2005 1 -1.23 -1.23 -1.23 -1.23
03/01/2005 04/01/2005 1 -1.09 -1.09 -1.09 -1.09
05/01/2005 07/01/2005 2 -1.65 -2.12 -1.06 -1.06
10/01/2005 11/01/2005 1 -1.31 -1.31 -1.31 -1.31
12/01/2005 01/01/2006 1 -2.4 -2.4 -2.4 -2.4
03/01/2007 09/01/2007 6 -2.34 -6.78 -1.13 -0.92
11/01/2007 12/01/2007 1 -1.13 -1.13 -1.13 -1.13
01/01/2009 04/01/2009 3 -1.21 -1.87 -0.62 -0.39
02/01/2010 03/01/2010 1 -1.09 -1.09 -1.09 -1.09
06/01/2010 09/01/2010 3 -1.72 -3.75 -1.25 -1.54
10/01/2010 11/01/2010 1 -1.9 -1.9 -1.9 -1.9
12/01/2010 02/01/2011 2 -2.35 -3.7 -1.85 -1.85
07/01/2011 09/01/2011 2 -1.34 -2.04 -1.02 -1.02
04/01/2012 09/01/2012 5 -2.92 -6.32 -1.26 -0.94
09/01/2013 10/01/2013 1 -1.04 -1.04 -1.04 -1.04
02/01/2014 04/01/2014 2 -1.67 -2.73 -1.36 -1.36
02/01/2015 03/01/2015 1 -1.82 -1.82 -1.82 -1.82
10/01/2015 11/01/2015 1 -1.5 -1.5 -1.5 -1.5
06/01/2016 07/01/2016 1 -1.4 -1.4 -1.4 -1.4
10/01/2016 11/01/2016 1 -1.29 -1.29 -1.29 -1.29
02/01/2017 04/01/2017 2 -1.5 -2.13 -1.06 -1.06
09/01/2017 02/01/2018 5 -1.55 -3.34 -0.67 -0.65
12/01/2019 01/01/2020 1 -1.01 -1.01 -1.01 -1.01
06/01/2022 08/01/2022 2 -2.17 -3.71 -1.85 -1.85
09/01/2022 12/01/2022 3 -1.45 -2.8 -0.93 -0.86
05/01/2023 07/01/2023 2 -1.08 -2.08 -1.04 -1.04
