01/01/2000 0.1068
spi frequency percentage rankingpercentile
-2.9 1 0.35 2.04
-2.6 1 0.35 4.08
-2.4 3 1.05 6.12
-2.3 1 0.35 8.16
-2.2 2 0.7 10.2
-1.9 2 0.7 12.24
-1.8 2 0.7 14.29
-1.7 3 1.05 16.33
-1.6 3 1.05 18.37
-1.5 5 1.75 20.41
-1.4 1 0.35 22.45
-1.3 6 2.1 24.49
-1.2 3 1.05 26.53
-1.1 7 2.45 28.57
-1 6 2.1 30.61
-0.9 12 4.2 32.65
-0.8 8 2.8 34.69
-0.7 7 2.45 36.73
-0.6 5 1.75 38.78
-0.5 17 5.94 40.82
-0.4 12 4.2 42.86
-0.3 6 2.1 44.9
-0.2 11 3.85 46.94
-0.1 12 4.2 48.98
0 12 4.2 51.02
0.1 11 3.85 53.06
0.2 10 3.5 55.1
0.3 10 3.5 57.14
0.4 9 3.15 59.18
0.5 7 2.45 61.22
0.6 11 3.85 63.27
0.7 14 4.9 65.31
0.8 9 3.15 67.35
0.9 10 3.5 69.39
1 11 3.85 71.43
1.1 3 1.05 73.47
1.2 10 3.5 75.51
1.3 3 1.05 77.55
1.4 3 1.05 79.59
1.5 4 1.4 81.63
1.7 1 0.35 83.67
1.8 1 0.35 85.71
1.9 2 0.7 87.76
2 3 1.05 89.8
2.1 1 0.35 91.84
2.2 2 0.7 93.88
2.3 1 0.35 95.92
2.7 1 0.35 97.96
3.1 1 0.35 100
