01/01/2000 0.2
start_date end_date duration peak sum average median
01/01/2003 02/01/2003 1 -1.99 -1.99 -1.99 -1.99
03/01/2003 06/01/2003 3 -1.75 -2.14 -0.71 -0.2
09/01/2004 10/01/2004 1 -1.93 -1.93 -1.93 -1.93
05/01/2005 07/01/2005 2 -2.85 -3.42 -1.71 -1.71
10/01/2005 01/01/2006 3 -2.51 -4.36 -1.45 -1.73
03/01/2007 05/01/2007 2 -1.68 -2.49 -1.25 -1.25
08/01/2007 10/01/2007 2 -3.44 -3.73 -1.86 -1.86
06/01/2010 11/01/2010 5 -3.35 -7.08 -1.42 -1.31
01/01/2011 02/01/2011 1 -2.57 -2.57 -2.57 -2.57
04/01/2012 09/01/2012 5 -2.2 -6.09 -1.22 -1.12
09/01/2017 02/01/2018 5 -1.86 -3.71 -0.74 -0.48
07/01/2018 08/01/2018 1 -2.62 -2.62 -2.62 -2.62
09/01/2022 12/01/2022 3 -1.51 -2.65 -0.88 -0.75
