05/01/2000 0.0
spi frequency percentage rankingpercentile
-3.3 1 0.35 1.96
-3 1 0.35 3.92
-2.7 1 0.35 5.88
-2.6 1 0.35 7.84
-2.4 1 0.35 9.8
-2.3 3 1.06 11.76
-2.1 1 0.35 13.73
-2 1 0.35 15.69
-1.9 2 0.71 17.65
-1.8 1 0.35 19.61
-1.7 1 0.35 21.57
-1.6 3 1.06 23.53
-1.5 2 0.71 25.49
-1.4 2 0.71 27.45
-1.3 5 1.77 29.41
-1.2 4 1.42 31.37
-1.1 7 2.48 33.33
-1 5 1.77 35.29
-0.9 9 3.19 37.25
-0.8 9 3.19 39.22
-0.7 11 3.9 41.18
-0.6 11 3.9 43.14
-0.5 5 1.77 45.1
-0.4 13 4.61 47.06
-0.3 13 4.61 49.02
-0.2 10 3.55 50.98
-0.1 9 3.19 52.94
0 14 4.96 54.9
0.1 10 3.55 56.86
0.2 6 2.13 58.82
0.3 10 3.55 60.78
0.4 15 5.32 62.75
0.5 7 2.48 64.71
0.6 12 4.26 66.67
0.7 10 3.55 68.63
0.8 9 3.19 70.59
0.9 9 3.19 72.55
1 7 2.48 74.51
1.1 8 2.84 76.47
1.2 5 1.77 78.43
1.3 5 1.77 80.39
1.4 5 1.77 82.35
1.5 2 0.71 84.31
1.6 4 1.42 86.27
1.7 4 1.42 88.24
1.8 1 0.35 90.2
1.9 1 0.35 92.16
2 3 1.06 94.12
2.3 1 0.35 96.08
2.4 1 0.35 98.04
2.5 1 0.35 100
