01/01/2000 0.0116
spi frequency percentage rankingpercentile
-3.4 1 0.35 2.08
-2.9 1 0.35 4.17
-2.5 1 0.35 6.25
-2.3 1 0.35 8.33
-2.2 1 0.35 10.42
-2.1 2 0.7 12.5
-2 4 1.4 14.58
-1.9 1 0.35 16.67
-1.8 1 0.35 18.75
-1.7 3 1.05 20.83
-1.6 4 1.4 22.92
-1.5 4 1.4 25
-1.4 5 1.75 27.08
-1.3 3 1.05 29.17
-1.2 5 1.75 31.25
-1.1 6 2.1 33.33
-1 1 0.35 35.42
-0.9 4 1.4 37.5
-0.8 17 5.94 39.58
-0.7 5 1.75 41.67
-0.6 6 2.1 43.75
-0.5 14 4.9 45.83
-0.4 10 3.5 47.92
-0.3 14 4.9 50
-0.2 7 2.45 52.08
-0.1 9 3.15 54.17
0 17 5.94 56.25
0.1 8 2.8 58.33
0.2 12 4.2 60.42
0.3 8 2.8 62.5
0.4 12 4.2 64.58
0.5 15 5.24 66.67
0.6 9 3.15 68.75
0.7 4 1.4 70.83
0.8 10 3.5 72.92
0.9 12 4.2 75
1 3 1.05 77.08
1.1 10 3.5 79.17
1.2 10 3.5 81.25
1.3 6 2.1 83.33
1.4 5 1.75 85.42
1.5 2 0.7 87.5
1.6 1 0.35 89.58
1.7 3 1.05 91.67
1.8 2 0.7 93.75
2.1 1 0.35 95.83
2.2 4 1.4 97.92
2.3 2 0.7 100
