05/01/2000 0.0
start_date end_date duration peak sum average median
12/01/2000 01/01/2001 1 -1.81 -1.81 -1.81 -1.81
03/01/2002 04/01/2002 1 -1.44 -1.44 -1.44 -1.44
09/01/2002 10/01/2002 1 -1.18 -1.18 -1.18 -1.18
11/01/2002 02/01/2003 3 -1.75 -3.38 -1.13 -0.84
07/01/2003 08/01/2003 1 -1.28 -1.28 -1.28 -1.28
10/01/2003 11/01/2003 1 -1.16 -1.16 -1.16 -1.16
02/01/2004 03/01/2004 1 -1.41 -1.41 -1.41 -1.41
06/01/2004 08/01/2004 2 -1.79 -1.95 -0.98 -0.98
03/01/2005 08/01/2005 5 -1.77 -6.45 -1.29 -1.5
02/01/2006 03/01/2006 1 -2.12 -2.12 -2.12 -2.12
05/01/2006 06/01/2006 1 -1.77 -1.77 -1.77 -1.77
07/01/2007 08/01/2007 1 -1.19 -1.19 -1.19 -1.19
01/01/2009 02/01/2009 1 -2.96 -2.96 -2.96 -2.96
10/01/2010 02/01/2011 4 -1.53 -3.68 -0.92 -0.8
03/01/2011 11/01/2011 8 -1.48 -7.57 -0.95 -1.26
01/01/2012 04/01/2012 3 -1.33 -1.96 -0.65 -0.43
05/01/2012 09/01/2012 4 -2.42 -4.27 -1.07 -0.8
08/01/2013 09/01/2013 1 -1.24 -1.24 -1.24 -1.24
03/01/2014 04/01/2014 1 -1.47 -1.47 -1.47 -1.47
10/01/2015 11/01/2015 1 -1.32 -1.32 -1.32 -1.32
02/01/2016 05/01/2016 3 -1.9 -3.93 -1.31 -1.09
06/01/2016 07/01/2016 1 -1.91 -1.91 -1.91 -1.91
10/01/2016 03/01/2017 5 -1.14 -2.52 -0.5 -0.39
09/01/2017 10/01/2017 1 -2.33 -2.33 -2.33 -2.33
11/01/2017 01/01/2018 2 -1.66 -2.82 -1.41 -1.41
04/01/2018 06/01/2018 2 -2.17 -2.38 -1.19 -1.19
08/01/2020 09/01/2020 1 -2.15 -2.15 -2.15 -2.15
10/01/2020 11/01/2020 1 -1.08 -1.08 -1.08 -1.08
02/01/2021 03/01/2021 1 -1.2 -1.2 -1.2 -1.2
08/01/2021 09/01/2021 1 -1.25 -1.25 -1.25 -1.25
11/01/2021 03/01/2022 4 -1.45 -2.44 -0.61 -0.43
08/01/2022 09/01/2022 1 -1.83 -1.83 -1.83 -1.83
04/01/2023 05/01/2023 1 -2.41 -2.41 -2.41 -2.41
06/01/2023 08/01/2023 2 -1.69 -2.67 -1.34 -1.34
