04/01/2015 0.0271
start_date end_date duration peak sum average median
08/01/2015 09/01/2015 1 -1.11 -1.11 -1.11 -1.11
01/01/2016 04/01/2016 3 -2.13 -4.97 -1.66 -1.64
06/01/2016 07/01/2016 1 -2.08 -2.08 -2.08 -2.08
10/01/2016 04/01/2017 6 -2.14 -5.89 -0.98 -0.83
08/01/2017 01/01/2018 5 -1.48 -5.18 -1.04 -1.25
04/01/2018 06/01/2018 2 -1.07 -1.76 -0.88 -0.88
07/01/2018 10/01/2018 3 -2.08 -2.78 -0.93 -0.6
09/01/2019 10/01/2019 1 -1.34 -1.34 -1.34 -1.34
08/01/2021 09/01/2021 1 -1.05 -1.05 -1.05 -1.05
11/01/2021 12/01/2021 1 -1.42 -1.42 -1.42 -1.42
04/01/2023 08/01/2023 4 -1.88 -4.54 -1.13 -1.28
09/01/2023 10/01/2023 1 -1.32 -1.32 -1.32 -1.32
