01/01/2000 0.1542
spi frequency percentage rankingpercentile
-2.6 1 0.35 2.17
-2.5 3 1.05 4.35
-2.4 3 1.05 6.52
-2.3 3 1.05 8.7
-2.1 1 0.35 10.87
-1.7 4 1.4 13.04
-1.6 3 1.05 15.22
-1.5 4 1.4 17.39
-1.4 3 1.05 19.57
-1.3 1 0.35 21.74
-1.2 9 3.15 23.91
-1.1 7 2.45 26.09
-1 3 1.05 28.26
-0.9 4 1.4 30.43
-0.8 11 3.85 32.61
-0.7 9 3.15 34.78
-0.6 14 4.9 36.96
-0.5 11 3.85 39.13
-0.4 7 2.45 41.3
-0.3 11 3.85 43.48
-0.2 9 3.15 45.65
-0.1 13 4.55 47.83
0 7 2.45 50
0.1 12 4.2 52.17
0.2 18 6.29 54.35
0.3 8 2.8 56.52
0.4 7 2.45 58.7
0.5 12 4.2 60.87
0.6 10 3.5 63.04
0.7 12 4.2 65.22
0.8 13 4.55 67.39
0.9 9 3.15 69.57
1 5 1.75 71.74
1.1 3 1.05 73.91
1.2 4 1.4 76.09
1.3 9 3.15 78.26
1.4 4 1.4 80.43
1.5 4 1.4 82.61
1.6 1 0.35 84.78
1.7 5 1.75 86.96
1.8 2 0.7 89.13
1.9 2 0.7 91.3
2.1 1 0.35 93.48
2.2 2 0.7 95.65
2.3 1 0.35 97.83
2.6 1 0.35 100
