12/01/2005 0.02
start_date end_date duration peak sum average median
02/01/2006 03/01/2006 1 -1.57 -1.57 -1.57 -1.57
06/01/2006 07/01/2006 1 -1.63 -1.63 -1.63 -1.63
07/01/2007 09/01/2007 2 -1.7 -3.1 -1.55 -1.55
01/01/2008 02/01/2008 1 -1.78 -1.78 -1.78 -1.78
10/01/2010 11/01/2010 1 -2.2 -2.2 -2.2 -2.2
12/01/2010 02/01/2011 2 -2.12 -3.9 -1.95 -1.95
04/01/2012 09/01/2012 5 -3.07 -5.88 -1.18 -1
08/01/2014 10/01/2014 2 -1.84 -2.08 -1.04 -1.04
09/01/2017 02/01/2018 5 -1.83 -4.06 -0.81 -0.6
06/01/2022 08/01/2022 2 -2.49 -4.16 -2.08 -2.08
04/01/2023 07/01/2023 3 -1.58 -2.79 -0.93 -1.07
