01/01/2000 0.0029
start_date end_date duration peak sum average median
04/01/2000 06/01/2000 2 -1.39 -2.39 -1.2 -1.2
12/01/2000 01/01/2001 1 -1.55 -1.55 -1.55 -1.55
03/01/2002 04/01/2002 1 -1.06 -1.06 -1.06 -1.06
06/01/2002 10/01/2002 4 -1.65 -5.13 -1.28 -1.43
11/01/2002 04/01/2003 5 -2.41 -5.71 -1.14 -1.02
05/01/2003 06/01/2003 1 -1.05 -1.05 -1.05 -1.05
07/01/2003 08/01/2003 1 -1.91 -1.91 -1.91 -1.91
03/01/2005 05/01/2005 2 -1.43 -1.47 -0.73 -0.73
07/01/2005 08/01/2005 1 -1.03 -1.03 -1.03 -1.03
02/01/2006 03/01/2006 1 -2.1 -2.1 -2.1 -2.1
05/01/2006 07/01/2006 2 -1.79 -2.6 -1.3 -1.3
06/01/2007 08/01/2007 2 -1.44 -1.93 -0.96 -0.96
11/01/2007 12/01/2007 1 -2.42 -2.42 -2.42 -2.42
08/01/2008 09/01/2008 1 -2.03 -2.03 -2.03 -2.03
01/01/2009 03/01/2009 2 -2.43 -2.66 -1.33 -1.33
10/01/2011 11/01/2011 1 -2.79 -2.79 -2.79 -2.79
05/01/2012 11/01/2012 6 -1.91 -5.68 -0.95 -1.04
06/01/2013 09/01/2013 3 -1.59 -3.89 -1.3 -1.49
01/01/2014 04/01/2014 3 -1.64 -3.22 -1.07 -1.56
11/01/2014 12/01/2014 1 -1.4 -1.4 -1.4 -1.4
08/01/2015 11/01/2015 3 -1.33 -2.68 -0.89 -0.86
03/01/2016 04/01/2016 1 -1.5 -1.5 -1.5 -1.5
06/01/2016 07/01/2016 1 -1.36 -1.36 -1.36 -1.36
02/01/2017 03/01/2017 1 -1.36 -1.36 -1.36 -1.36
06/01/2017 10/01/2017 4 -1.12 -2.5 -0.62 -0.48
12/01/2017 02/01/2018 2 -1.34 -1.36 -0.68 -0.68
03/01/2018 08/01/2018 5 -2.69 -6.54 -1.31 -1.16
08/01/2020 11/01/2020 3 -1.87 -3.7 -1.23 -1.47
02/01/2021 03/01/2021 1 -1.72 -1.72 -1.72 -1.72
09/01/2021 10/01/2021 1 -1.57 -1.57 -1.57 -1.57
02/01/2022 03/01/2022 1 -2.1 -2.1 -2.1 -2.1
08/01/2022 11/01/2022 3 -1.05 -2.25 -0.75 -0.83
05/01/2023 07/01/2023 2 -1.32 -1.65 -0.83 -0.83
09/01/2023 11/01/2023 2 -1.23 -1.61 -0.81 -0.81
