04/01/2015 0.0
start_date end_date duration peak sum average median
06/01/2016 08/01/2016 2 -1.55 -2.28 -1.14 -1.14
12/01/2017 02/01/2018 2 -1.87 -3.71 -1.85 -1.85
03/01/2018 08/01/2018 5 -2.14 -6.5 -1.3 -1.46
08/01/2020 09/01/2020 1 -2.03 -2.03 -2.03 -2.03
10/01/2020 11/01/2020 1 -1.59 -1.59 -1.59 -1.59
02/01/2021 04/01/2021 2 -1.48 -1.84 -0.92 -0.92
09/01/2021 10/01/2021 1 -1.06 -1.06 -1.06 -1.06
01/01/2022 04/01/2022 3 -1.2 -2.07 -0.69 -0.57
08/01/2022 11/01/2022 3 -1.13 -2.76 -0.92 -0.88
05/01/2023 07/01/2023 2 -1.52 -2.69 -1.34 -1.34
