04/01/2015 0.0
spi frequency percentage rankingpercentile
-2.1 1 0.97 2.56
-2 1 0.97 5.13
-1.9 1 0.97 7.69
-1.8 1 0.97 10.26
-1.6 2 1.94 12.82
-1.5 4 3.88 15.38
-1.3 1 0.97 17.95
-1.2 2 1.94 20.51
-1.1 3 2.91 23.08
-1 1 0.97 25.64
-0.9 3 2.91 28.21
-0.8 2 1.94 30.77
-0.7 5 4.85 33.33
-0.6 5 4.85 35.9
-0.5 2 1.94 38.46
-0.4 7 6.8 41.03
-0.3 5 4.85 43.59
-0.2 5 4.85 46.15
-0.1 5 4.85 48.72
0 3 2.91 51.28
0.1 2 1.94 53.85
0.2 2 1.94 56.41
0.3 3 2.91 58.97
0.4 2 1.94 61.54
0.5 2 1.94 64.1
0.6 4 3.88 66.67
0.7 3 2.91 69.23
0.8 2 1.94 71.79
0.9 4 3.88 74.36
1.1 6 5.83 76.92
1.2 1 0.97 79.49
1.4 2 1.94 82.05
1.5 3 2.91 84.62
1.6 2 1.94 87.18
1.7 1 0.97 89.74
1.8 2 1.94 92.31
1.9 1 0.97 94.87
2 1 0.97 97.44
2.1 1 0.97 100
