10/01/2008 0.0678
start_date end_date duration peak sum average median
01/01/2009 02/01/2009 1 -2.15 -2.15 -2.15 -2.15
10/01/2010 02/01/2011 4 -1.14 -2.64 -0.66 -0.72
08/01/2011 11/01/2011 3 -1.73 -3.87 -1.29 -1.68
05/01/2012 10/01/2012 5 -2.87 -7.58 -1.52 -1.37
07/01/2013 09/01/2013 2 -1.59 -2.81 -1.4 -1.4
03/01/2014 04/01/2014 1 -1.7 -1.7 -1.7 -1.7
03/01/2015 05/01/2015 2 -1.11 -2.19 -1.09 -1.09
09/01/2015 11/01/2015 2 -1.35 -2.08 -1.04 -1.04
02/01/2016 06/01/2016 4 -2.44 -4.31 -1.08 -0.65
10/01/2016 03/01/2017 5 -1.42 -4.06 -0.81 -0.68
09/01/2017 10/01/2017 1 -1.33 -1.33 -1.33 -1.33
12/01/2017 01/01/2018 1 -1.69 -1.69 -1.69 -1.69
04/01/2018 08/01/2018 4 -2.45 -4.55 -1.14 -0.85
02/01/2019 03/01/2019 1 -1.01 -1.01 -1.01 -1.01
12/01/2020 01/01/2021 1 -1.01 -1.01 -1.01 -1.01
11/01/2021 12/01/2021 1 -1.02 -1.02 -1.02 -1.02
04/01/2023 08/01/2023 4 -1.45 -5.01 -1.25 -1.23
09/01/2023 10/01/2023 1 -1.65 -1.65 -1.65 -1.65
