05/01/2006 0.0358
spi frequency percentage rankingpercentile
-2.7 1 0.48 2.13
-2.4 1 0.48 4.26
-2.3 1 0.48 6.38
-2 3 1.43 8.51
-1.9 3 1.43 10.64
-1.8 2 0.95 12.77
-1.7 1 0.48 14.89
-1.6 1 0.48 17.02
-1.5 4 1.9 19.15
-1.4 3 1.43 21.28
-1.3 3 1.43 23.4
-1.2 5 2.38 25.53
-1.1 5 2.38 27.66
-1 2 0.95 29.79
-0.9 9 4.29 31.91
-0.8 4 1.9 34.04
-0.7 7 3.33 36.17
-0.6 6 2.86 38.3
-0.5 5 2.38 40.43
-0.4 9 4.29 42.55
-0.3 5 2.38 44.68
-0.2 7 3.33 46.81
-0.1 12 5.71 48.94
0 10 4.76 51.06
0.1 5 2.38 53.19
0.2 11 5.24 55.32
0.3 9 4.29 57.45
0.4 8 3.81 59.57
0.5 8 3.81 61.7
0.6 8 3.81 63.83
0.7 9 4.29 65.96
0.8 5 2.38 68.09
0.9 3 1.43 70.21
1 7 3.33 72.34
1.1 2 0.95 74.47
1.2 4 1.9 76.6
1.3 2 0.95 78.72
1.4 2 0.95 80.85
1.5 2 0.95 82.98
1.6 2 0.95 85.11
1.7 5 2.38 87.23
1.8 2 0.95 89.36
1.9 1 0.48 91.49
2 1 0.48 93.62
2.1 2 0.95 95.74
2.2 1 0.48 97.87
2.4 2 0.95 100
