Year      Month     Average
2000      1         0.0139
2000      2         0.0948
2000      3         0.0726
2000      4         0.0170
2000      5         0.1400
2000      6         0.2260
2000      7         0.0990
2000      8         0.2210
2000      9         0.0693
2000      10        0.1210
2000      11        0.0533
2000      12        0.0077
2001      1         0.1161
2001      2         0.1618
2001      3         0.0542
2001      4         0.1427
2001      5         0.1642
2001      6         0.1757
2001      7         0.1165
2001      8         0.1052
2001      9         0.0750
2001      10        0.1300
2001      11        0.0717
2001      12        0.0368
2002      1         0.0877
2002      2         0.0250
2002      3         0.0548
2002      4         0.1513
2002      5         0.2890
2002      6         0.1003
2002      7         0.1081
2002      8         0.1087
2002      9         0.0397
2002      10        0.1200
2002      11        0.0240
2002      12        0.0552
2003      1         0.0187
2003      2         0.0600
2003      3         0.0865
2003      4         0.1353
2003      5         0.1755
2003      6         0.2147
2003      7         0.0219
2003      8         0.1045
2003      9         0.1640
2003      10        0.0529
2003      11        0.0817
2003      12        0.1019
2004      1         0.0535
2004      2         0.0255
2004      3         0.1513
2004      4         0.0973
2004      5         0.1597
2004      6         0.0533
2004      7         0.1542
2004      8         0.2042
2004      9         0.0837
2004      10        0.1406
2004      11        0.1717
2004      12        0.0390
2005      1         0.1816
2005      2         0.0707
2005      3         0.0365
2005      4         0.0767
2005      5         0.0416
2005      6         0.1063
2005      7         0.0194
2005      8         0.2048
2005      9         0.0893
2005      10        0.0700
2005      11        0.0423
2005      12        0.0287
2006      1         0.0635
2006      2         0.0043
2006      3         0.1552
2006      4         0.0803
2006      5         0.0942
2006      6         0.1957
2006      7         0.1294
2006      8         0.0752
2006      9         0.0460
2006      10        0.0826
2006      11        0.0643
2006      12        0.0532
2007      1         0.0658
2007      2         0.0679
2007      3         0.0723
2007      4         0.1293
2007      5         0.1152
2007      6         0.1687
2007      7         0.0545
2007      8         0.0500
2007      9         0.0473
2007      10        0.0668
2007      11        0.0457
2007      12        0.1013
2008      1         0.0735
2008      2         0.1107
2008      3         0.1642
2008      4         0.1263
2008      5         0.1732
2008      6         0.2033
2008      7         0.4942
2008      8         0.0806
2008      9         0.4020
2008      10        0.0597
2008      11        0.0317
2008      12        0.0874
2009      1         0.0035
2009      2         0.0868
2009      3         0.1087
2009      4         0.2277
2009      5         0.1284
2009      6         0.3380
2009      7         0.1016
2009      8         0.1116
2009      9         0.1183
2009      10        0.3129
2009      11        0.0610
2009      12        0.0913
2010      1         0.0652
2010      2         0.0861
2010      3         0.0784
2010      4         0.1813
2010      5         0.1458
2010      6         0.2113
2010      7         0.3503
2010      8         0.1229
2010      9         0.2603
2010      10        0.0190
2010      11        0.0470
2010      12        0.0652
2011      1         0.0116
2011      2         0.0739
2011      3         0.0906
2011      4         0.0950
2011      5         0.1613
2011      6         0.1393
2011      7         0.0565
2011      8         0.0565
2011      9         0.0407
2011      10        0.0290
2011      11        0.1397
2011      12        0.0990
2012      1         0.0184
2012      2         0.0731
2012      3         0.0919
2012      4         0.1547
2012      5         0.0616
2012      6         0.0750
2012      7         0.0355
2012      8         0.0977
2012      9         0.0593
2012      10        0.0790
2012      11        0.0443
2012      12        0.0513
2013      1         0.0981
2013      2         0.0718
2013      3         0.0903
2013      4         0.2593
2013      5         0.3197
2013      6         0.0697
2013      7         0.0426
2013      8         0.0690
2013      9         0.0693
2013      10        0.0910
2013      11        0.0570
2013      12        0.0523
2014      1         0.0142
2014      2         0.0275
2014      3         0.0548
2014      4         0.1767
2014      5         0.1223
2014      6         0.1337
2014      7         0.0584
2014      8         0.1158
2014      9         0.1470
2014      10        0.2284
2014      11        0.0317
2014      12        0.0545
2015      1         0.0306
2015      2         0.0386
2015      3         0.0642
2015      4         0.1027
2015      5         0.1929
2015      6         0.4040
2015      7         0.2623
2015      8         0.0158
2015      9         0.0297
2015      10        0.0384
2015      11        0.2667
2015      12        0.2184
2016      1         0.0190
2016      2         0.0183
2016      3         0.0584
2016      4         0.0857
2016      5         0.1348
2016      6         0.0417
2016      7         0.2723
2016      8         0.3181
2016      9         0.1473
2016      10        0.0229
2016      11        0.0567
2016      12        0.0416
2017      1         0.0384
2017      2         0.0121
2017      3         0.1142
2017      4         0.2633
2017      5         0.1474
2017      6         0.1287
2017      7         0.0942
2017      8         0.0974
2017      9         0.0183
2017      10        0.1103
2017      11        0.0273
2017      12        0.0058
2018      1         0.0581
2018      2         0.1139
2018      3         0.1274
2018      4         0.0240
2018      5         0.0755
2018      6         0.1327
2018      7         0.0526
2018      8         0.1368
2018      9         0.0417
2018      10        0.2071
2018      11        0.0843
2018      12        0.1290
2019      1         0.0555
2019      2         0.0304
2019      3         0.1139
2019      4         0.1577
2019      5         0.1494
2019      6         0.1760
2019      7         0.1019
2019      8         0.2271
2019      9         0.0590
2019      10        0.1210
2019      11        0.0540
2019      12        0.0442
2020      1         0.1023
2020      2         0.0683
2020      3         0.1568
2020      4         0.1493
2020      5         0.1248
2020      6         0.3297
2020      7         0.1255
2020      8         0.1006
2020      9         0.1430
2020      10        0.0542
2020      11        0.0640
2020      12        0.0252
2021      1         0.0894
2021      2         0.0189
2021      3         0.1629
2021      4         0.1923
2021      5         0.1377
2021      6         0.3473
2021      7         0.1613
2021      8         0.0923
2021      9         0.0547
2021      10        0.1952
2021      11        0.0277
2021      12        0.0594
2022      1         0.0303
2022      2         0.0414
2022      3         0.1203
2022      4         0.1503
2022      5         0.1816
2022      6         0.0797
2022      7         0.1606
2022      8         0.0606
2022      9         0.0617
2022      10        0.1103
2022      11        0.0703
2022      12        0.0358
2023      1         0.0423
2023      2         0.1039
2023      3         0.0823
2023      4         0.0267
2023      5         0.0548
2023      6         0.0367
2023      7         0.1116
2023      8         0.1887
2023      9         0.0077
2023      10        0.0745
2023      11        0.0178
