Year      Month     Average
2000      1         0.0213
2000      2         0.0893
2000      3         0.0516
2000      4         0.0497
2000      5         0.1148
2000      6         0.2327
2000      7         0.1190
2000      8         0.0919
2000      9         0.0860
2000      10        0.1006
2000      11        0.0427
2000      12        0.0113
2001      1         0.0919
2001      2         0.1332
2001      3         0.0687
2001      4         0.1123
2001      5         0.2290
2001      6         0.2613
2001      7         0.2113
2001      8         0.1571
2001      9         0.1473
2001      10        0.1165
2001      11        0.0160
2001      12        0.0323
2002      1         0.0494
2002      2         0.0418
2002      3         0.0245
2002      4         0.1673
2002      5         0.3742
2002      6         0.1463
2002      7         0.1416
2002      8         0.1606
2002      9         0.0187
2002      10        0.1081
2002      11        0.0123
2002      12        0.0152
2003      1         0.0165
2003      2         0.0646
2003      3         0.0403
2003      4         0.1170
2003      5         0.1365
2003      6         0.1193
2003      7         0.0706
2003      8         0.1903
2003      9         0.1320
2003      10        0.0326
2003      11        0.0973
2003      12        0.1239
2004      1         0.0184
2004      2         0.0117
2004      3         0.1252
2004      4         0.1103
2004      5         0.1565
2004      6         0.1500
2004      7         0.1629
2004      8         0.2794
2004      9         0.0530
2004      10        0.1177
2004      11        0.0953
2004      12        0.0213
2005      1         0.0774
2005      2         0.1025
2005      3         0.0481
2005      4         0.0763
2005      5         0.1235
2005      6         0.1997
2005      7         0.0568
2005      8         0.2426
2005      9         0.1063
2005      10        0.1206
2005      11        0.0423
2005      12        0.0216
2006      1         0.0371
2006      2         0.0057
2006      3         0.0965
2006      4         0.0977
2006      5         0.1732
2006      6         0.0883
2006      7         0.1265
2006      8         0.2165
2006      9         0.0640
2006      10        0.1026
2006      11        0.0613
2006      12        0.0542
2007      1         0.0000
2007      2         0.0429
2007      3         0.0842
2007      4         0.0900
2007      5         0.1535
2007      6         0.2467
2007      7         0.0555
2007      8         0.1071
2007      9         0.0557
2007      10        0.1458
2007      11        0.0133
2007      12        0.0390
2008      1         0.0126
2008      2         0.0990
2008      3         0.0977
2008      4         0.1563
2008      5         0.1255
2008      6         0.2503
2008      7         0.2619
2008      8         0.0806
2008      9         0.2277
2008      10        0.1171
2008      11        0.0707
2008      12        0.0581
2009      1         0.0000
2009      2         0.0471
2009      3         0.1474
2009      4         0.1740
2009      5         0.1213
2009      6         0.2130
2009      7         0.1000
2009      8         0.2635
2009      9         0.0313
2009      10        0.2358
2009      11        0.0660
2009      12        0.0581
2010      1         0.0158
2010      2         0.0396
2010      3         0.0735
2010      4         0.1800
2010      5         0.1961
2010      6         0.2280
2010      7         0.2503
2010      8         0.1716
2010      9         0.2057
2010      10        0.0068
2010      11        0.0493
2010      12        0.0235
2011      1         0.0074
2011      2         0.0786
2011      3         0.0606
2011      4         0.1400
2011      5         0.1429
2011      6         0.1467
2011      7         0.1597
2011      8         0.1187
2011      9         0.0323
2011      10        0.0113
2011      11        0.1857
2011      12        0.0881
2012      1         0.0135
2012      2         0.0786
2012      3         0.1339
2012      4         0.0907
2012      5         0.1139
2012      6         0.0523
2012      7         0.0332
2012      8         0.1161
2012      9         0.1060
2012      10        0.0790
2012      11        0.0470
2012      12        0.0403
2013      1         0.0600
2013      2         0.0589
2013      3         0.0829
2013      4         0.2127
2013      5         0.2561
2013      6         0.0837
2013      7         0.0416
2013      8         0.0258
2013      9         0.0573
2013      10        0.1081
2013      11        0.0637
2013      12        0.0242
2014      1         0.0055
2014      2         0.0114
2014      3         0.0352
2014      4         0.1520
2014      5         0.0184
2014      6         0.2473
2014      7         0.0939
2014      8         0.1832
2014      9         0.0707
2014      10        0.2368
2014      11        0.0383
2014      12        0.0397
2015      1         0.0352
2015      2         0.0300
2015      3         0.0548
2015      4         0.0990
2015      5         0.2400
2015      6         0.1413
2015      7         0.2516
2015      8         0.0513
2015      9         0.0243
2015      10        0.0723
2015      11        0.2033
2015      12        0.1390
2016      1         0.0313
2016      2         0.0121
2016      3         0.0681
2016      4         0.1137
2016      5         0.1623
2016      6         0.0900
2016      7         0.2071
2016      8         0.1632
2016      9         0.1057
2016      10        0.1142
2016      11        0.0137
2016      12        0.0268
2017      1         0.0310
2017      2         0.0168
2017      3         0.1126
2017      4         0.1900
2017      5         0.1206
2017      6         0.3663
2017      7         0.1097
2017      8         0.0816
2017      9         0.0190
2017      10        0.1716
2017      11        0.0083
2017      12        0.0006
2018      1         0.0316
2018      2         0.0979
2018      3         0.0935
2018      4         0.0163
2018      5         0.0606
2018      6         0.0830
2018      7         0.0971
2018      8         0.2348
2018      9         0.0553
2018      10        0.1684
2018      11        0.0350
2018      12        0.0961
2019      1         0.0381
2019      2         0.0582
2019      3         0.1052
2019      4         0.2233
2019      5         0.2684
2019      7         0.1622
2019      8         0.1303
2019      9         0.1550
2019      10        0.0903
2019      11        0.0423
2019      12        0.0552
2020      1         0.0426
2020      2         0.0272
2020      3         0.1474
2020      4         0.0860
2020      5         0.1455
2020      6         0.1937
2020      7         0.1481
2020      8         0.0571
2020      9         0.1420
2020      10        0.0384
2020      11        0.0900
2020      12        0.0377
2021      1         0.0500
2021      2         0.0039
2021      3         0.1561
2021      4         0.1177
2021      5         0.1310
2021      6         0.4037
2021      7         0.1055
2021      8         0.0600
2021      9         0.0303
2021      10        0.1316
2021      11        0.0153
2021      12        0.0352
2022      1         0.0190
2022      2         0.0211
2022      3         0.1213
2022      4         0.0657
2022      5         0.0971
2022      6         0.1103
2022      7         0.1087
2022      8         0.0706
2022      9         0.0243
2022      10        0.0568
2022      11        0.1157
2022      12        0.0374
2023      1         0.1003
2023      2         0.1125
2023      3         0.0797
2023      4         0.0400
2023      5         0.0413
2023      6         0.0263
2023      7         0.0345
2023      8         0.2542
2023      9         0.0383
2023      10        0.1190
2023      11        0.0189
