Year      Month     Average
2015      5         0.2200
2015      6         0.2257
2015      7         0.1884
2015      8         0.0913
2015      9         0.2227
2015      10        0.0639
2015      11        0.2480
2015      12        0.1652
2016      1         0.0219
2016      2         0.0238
2016      3         0.0623
2016      4         0.1147
2016      5         0.0752
2016      6         0.0923
2016      7         0.2261
2016      8         0.1810
2016      9         0.1453
2016      10        0.1548
2016      11        0.0440
2016      12        0.0271
2017      1         0.0568
2017      2         0.0204
2017      3         0.0642
2017      4         0.3257
2017      5         0.1523
2017      6         0.1547
2017      7         0.1935
2017      8         0.1981
2017      9         0.0530
2017      10        0.1284
2017      11        0.0133
2017      12        0.0103
2018      1         0.0242
2018      2         0.1175
2018      3         0.0680
2018      4         0.0443
2018      5         0.2629
2018      6         0.0920
2018      7         0.1132
2018      8         0.1845
2018      9         0.0377
2018      10        0.1335
2018      11        0.0597
2018      12        0.0948
2019      1         0.0606
2019      2         0.0593
2019      3         0.1055
2019      4         0.1307
2019      5         0.2590
2019      6         0.3087
2019      7         0.2248
2019      8         0.3581
2019      9         0.0897
2019      10        0.1361
2019      11        0.0470
2019      12        0.0635
2020      1         0.1077
2020      2         0.0693
2020      3         0.1552
2020      4         0.1337
2020      5         0.1658
2020      6         0.1103
2020      7         0.1948
2020      8         0.1129
2020      9         0.0720
2020      10        0.0865
2020      11        0.0707
2020      12        0.0281
2021      1         0.1361
2021      2         0.0036
2021      3         0.2352
2021      4         0.0943
2021      5         0.1874
2021      6         0.2343
2021      7         0.1829
2021      8         0.1242
2021      9         0.1307
2021      10        0.1216
2021      11        0.0047
2021      12        0.0187
2022      1         0.0039
2022      2         0.0118
2022      3         0.1158
2022      4         0.0990
2022      5         0.2435
2022      6         0.1363
2022      7         0.1613
2022      8         0.1203
2022      9         0.0283
2022      10        0.0890
2022      11        0.1420
2022      12        0.0300
2023      1         0.0481
2023      2         0.0639
2023      3         0.0548
2023      4         0.0663
2023      5         0.1448
2023      6         0.0517
2023      7         0.1458
2023      8         0.0465
2023      9         0.1007
2023      10        0.1084
2023      11        0.0504
