Year      Month     Average
2000      1         0.0848
2000      2         0.1083
2000      3         0.1068
2000      4         0.1303
2000      5         0.2358
2000      6         0.1240
2000      7         0.0616
2000      8         0.0452
2000      9         0.0747
2000      10        0.0487
2000      11        0.1697
2000      12        0.0187
2001      1         0.0671
2001      2         0.2379
2001      3         0.1181
2001      4         0.0103
2001      5         0.1419
2001      6         0.0973
2001      7         0.0342
2001      8         0.0510
2001      9         0.0780
2001      10        0.1900
2001      11        0.1773
2001      12        0.2874
2002      1         0.1513
2002      2         0.0782
2002      3         0.2113
2002      4         0.0590
2002      5         0.1323
2002      6         0.0857
2002      7         0.1742
2002      8         0.1132
2002      9         0.1370
2002      10        0.1032
2002      11        0.0527
2002      12        0.2129
2003      1         0.0397
2003      2         0.1950
2003      3         0.0819
2003      4         0.1183
2003      5         0.3690
2003      6         0.1477
2003      7         0.1768
2003      8         0.1061
2003      9         0.0927
2003      10        0.1100
2003      11        0.2093
2003      12        0.0987
2004      1         0.0903
2004      2         0.0907
2004      3         0.1206
2004      4         0.2123
2004      5         0.1803
2004      6         0.1113
2004      7         0.1306
2004      8         0.1174
2004      9         0.0010
2004      10        0.1587
2004      11        0.3263
2004      12        0.0984
2005      1         0.1526
2005      2         0.1075
2005      3         0.1474
2005      4         0.1953
2005      5         0.0084
2005      6         0.0867
2005      7         0.1529
2005      8         0.0806
2005      9         0.1087
2005      10        0.0074
2005      11        0.0923
2005      12        0.0116
2006      1         0.1439
2006      2         0.0911
2006      3         0.1258
2006      4         0.0840
2006      5         0.0877
2006      6         0.1307
2006      7         0.1442
2006      8         0.0800
2006      9         0.1623
2006      10        0.1897
2006      11        0.1380
2006      12        0.1303
2007      1         0.2232
2007      2         0.0739
2007      3         0.0497
2007      4         0.1213
2007      5         0.0371
2007      6         0.0977
2007      7         0.0994
2007      8         0.0087
2007      9         0.1223
2007      10        0.2190
2007      11        0.1390
2007      12        0.2010
2008      1         0.0581
2008      2         0.1117
2008      3         0.3545
2008      4         0.1913
2008      5         0.0748
2008      6         0.0333
2008      7         0.0365
2008      8         0.1116
2008      9         0.0957
2008      10        0.0987
2008      11        0.0520
2008      12        0.1748
2009      1         0.0484
2009      2         0.1514
2009      3         0.1306
2009      4         0.2197
2009      5         0.2106
2009      6         0.0897
2009      7         0.3155
2009      8         0.1210
2009      9         0.0773
2009      10        0.3158
2009      11        0.0347
2009      12        0.2542
2010      1         0.0865
2010      2         0.0514
2010      3         0.1361
2010      4         0.1083
2010      5         0.1332
2010      6         0.0503
2010      7         0.1545
2010      8         0.0061
2010      9         0.0780
2010      10        0.0110
2010      11        0.1617
2010      12        0.0732
2011      1         0.0106
2011      2         0.2046
2011      3         0.1884
2011      4         0.2860
2011      5         0.3239
2011      6         0.1260
2011      7         0.0613
2011      8         0.0716
2011      9         0.0837
2011      10        0.0997
2011      11        0.3363
2011      12        0.2481
2012      1         0.0784
2012      2         0.0669
2012      3         0.1368
2012      4         0.0373
2012      5         0.0616
2012      6         0.1157
2012      7         0.0932
2012      8         0.0552
2012      9         0.1580
2012      10        0.1055
2012      11        0.0763
2012      12        0.1058
2013      1         0.1835
2013      2         0.1539
2013      3         0.0610
2013      4         0.1620
2013      5         0.2303
2013      6         0.1017
2013      7         0.1297
2013      8         0.1545
2013      9         0.0530
2013      10        0.1181
2013      11        0.0780
2013      12        0.2174
2014      1         0.0623
2014      2         0.0596
2014      3         0.1194
2014      4         0.2047
2014      5         0.2526
2014      6         0.2183
2014      7         0.1142
2014      8         0.0919
2014      9         0.0923
2014      10        0.1510
2014      11        0.0760
2014      12        0.0684
2015      1         0.0468
2015      2         0.1264
2015      3         0.1694
2015      4         0.1653
2015      5         0.2197
2015      6         0.0800
2015      7         0.2803
2015      8         0.1439
2015      9         0.0310
2015      10        0.1026
2015      11        0.4083
2015      12        0.2297
2016      1         0.0529
2016      2         0.0776
2016      3         0.3316
2016      4         0.1443
2016      5         0.1916
2016      6         0.0630
2016      7         0.0968
2016      8         0.2077
2016      9         0.0923
2016      10        0.0297
2016      11        0.1053
2016      12        0.1552
2017      1         0.0881
2017      2         0.0632
2017      3         0.2042
2017      4         0.2653
2017      5         0.1958
2017      6         0.1680
2017      7         0.1171
2017      8         0.1290
2017      9         0.0083
2017      10        0.0355
2017      11        0.0647
2017      12        0.1061
2018      1         0.0726
2018      2         0.4264
2018      3         0.1068
2018      4         0.1847
2018      5         0.1535
2018      6         0.0997
2018      7         0.0348
2018      8         0.3010
2018      9         0.1847
2018      10        0.1310
2018      11        0.1550
2018      12        0.1403
2019      1         0.1410
2019      2         0.4254
2019      3         0.1332
2019      4         0.2367
2019      5         0.2555
2019      6         0.1590
2019      7         0.0877
2019      8         0.1097
2019      9         0.1213
2019      10        0.2439
2019      11        0.1903
2019      12        0.0897
2020      1         0.1906
2020      2         0.1593
2020      3         0.1777
2020      4         0.1363
2020      5         0.1032
2020      6         0.1030
2020      7         0.0994
2020      8         0.0861
2020      9         0.1367
2020      10        0.2248
2020      11        0.0730
2020      12        0.1006
2021      1         0.1248
2021      2         0.1796
2021      3         0.1777
2021      4         0.1233
2021      5         0.1823
2021      6         0.1040
2021      7         0.1532
2021      8         0.0603
2021      9         0.1093
2021      10        0.1081
2021      11        0.0640
2021      12        0.1284
2022      1         0.1674
2022      2         0.1307
2022      3         0.1213
2022      4         0.1907
2022      5         0.1074
2022      6         0.0653
2022      7         0.1097
2022      8         0.0894
2022      9         0.0083
2022      10        0.0752
2022      11        0.0803
2022      12        0.1874
2023      1         0.1745
2023      2         0.1232
2023      3         0.2813
2023      4         0.1187
2023      5         0.0897
2023      6         0.0623
2023      7         0.1532
2023      8         0.1352
2023      9         0.0957
2023      10        0.1616
2023      11        0.0511
