Year      Month     Average
2000      1         0.2106
2000      2         0.1583
2000      3         0.1455
2000      4         0.0660
2000      5         0.2042
2000      6         0.0907
2000      7         0.1048
2000      8         0.0781
2000      9         0.1003
2000      10        0.0319
2000      11        0.1570
2000      12        0.0323
2001      1         0.0371
2001      2         0.1721
2001      3         0.0887
2001      4         0.0137
2001      5         0.0719
2001      6         0.1023
2001      7         0.1713
2001      8         0.0706
2001      9         0.0790
2001      10        0.1400
2001      11        0.2243
2001      12        0.2577
2002      1         0.1490
2002      2         0.0514
2002      3         0.2348
2002      4         0.1787
2002      5         0.1868
2002      6         0.1307
2002      7         0.0865
2002      8         0.0513
2002      9         0.1363
2002      10        0.1103
2002      11        0.0933
2002      12        0.1900
2003      1         0.0213
2003      2         0.1846
2003      3         0.0690
2003      4         0.1590
2003      5         0.1432
2003      6         0.2480
2003      7         0.1065
2003      8         0.0952
2003      9         0.1787
2003      10        0.0432
2003      11        0.1593
2003      12        0.0890
2004      1         0.0768
2004      2         0.0703
2004      3         0.0894
2004      4         0.0930
2004      5         0.1171
2004      6         0.0473
2004      7         0.0610
2004      8         0.0890
2004      9         0.0093
2004      10        0.1465
2004      11        0.2307
2004      12        0.0839
2005      1         0.1884
2005      2         0.0911
2005      3         0.0968
2005      4         0.1113
2005      5         0.0232
2005      6         0.0733
2005      7         0.1716
2005      8         0.1400
2005      9         0.0920
2005      10        0.0000
2005      11        0.1167
2005      12        0.0297
2006      1         0.1490
2006      2         0.0771
2006      3         0.1619
2006      4         0.1317
2006      5         0.2168
2006      6         0.0823
2006      7         0.1126
2006      8         0.0968
2006      9         0.3873
2006      10        0.1400
2006      11        0.1537
2006      12        0.1416
2007      1         0.1958
2007      2         0.1014
2007      3         0.0790
2007      4         0.0933
2007      5         0.1061
2007      6         0.2213
2007      7         0.1003
2007      8         0.0081
2007      9         0.0940
2007      10        0.2452
2007      11        0.0797
2007      12        0.2297
2008      1         0.0581
2008      2         0.1017
2008      3         0.3058
2008      4         0.1967
2008      5         0.1661
2008      6         0.1120
2008      7         0.0945
2008      8         0.0368
2008      9         0.0267
2008      10        0.0752
2008      11        0.0720
2008      12        0.1523
2009      1         0.0900
2009      2         0.1075
2009      3         0.0800
2009      4         0.1833
2009      5         0.1923
2009      6         0.1210
2009      7         0.1416
2009      8         0.0855
2009      9         0.1147
2009      10        0.3148
2009      11        0.0303
2009      12        0.1584
2010      1         0.0923
2010      2         0.0443
2010      3         0.1519
2010      4         0.1477
2010      5         0.1581
2010      6         0.0223
2010      7         0.0629
2010      8         0.0784
2010      9         0.1223
2010      10        0.0148
2010      11        0.1663
2010      12        0.0829
2011      1         0.0145
2011      2         0.2068
2011      3         0.1729
2011      4         0.4300
2011      5         0.2129
2011      6         0.1137
2011      7         0.0406
2011      8         0.0439
2011      9         0.0983
2011      10        0.0590
2011      11        0.3353
2011      12        0.2026
2012      1         0.1110
2012      2         0.0614
2012      3         0.1323
2012      4         0.0223
2012      5         0.0810
2012      6         0.0637
2012      7         0.0716
2012      8         0.0077
2012      9         0.1603
2012      10        0.1455
2012      11        0.0923
2012      12        0.0742
2013      1         0.1639
2013      2         0.1254
2013      3         0.0768
2013      4         0.1703
2013      5         0.1300
