Year      Month     Average
2000      8         0.0394
2000      9         0.0850
2000      10        0.0294
2000      11        0.1800
2000      12        0.0726
2001      1         0.0577
2001      2         0.2196
2001      3         0.1029
2001      4         0.0683
2001      5         0.0771
2001      6         0.0943
2001      7         0.0755
2001      8         0.0432
2001      9         0.1297
2001      10        0.1858
2001      11        0.2330
2001      12        0.3174
2002      1         0.1526
2002      2         0.0546
2002      3         0.2474
2002      4         0.1587
2002      5         0.2213
2002      6         0.1793
2002      7         0.0706
2002      8         0.1068
2002      9         0.1537
2002      10        0.0658
2002      11        0.1053
2002      12        0.1942
2003      1         0.0158
2003      2         0.1946
2003      3         0.0474
2003      4         0.1547
2003      5         0.1948
2003      6         0.1227
2003      7         0.1242
2003      8         0.1445
2003      9         0.1710
2003      10        0.0565
2003      11        0.1337
2003      12        0.0890
2004      1         0.0665
2004      2         0.0679
2004      3         0.1126
2004      4         0.1363
2004      5         0.1323
2004      6         0.0827
2004      7         0.1226
2004      8         0.0842
2004      9         0.0177
2004      10        0.1361
2004      11        0.3087
2004      12        0.0984
2005      1         0.1555
2005      2         0.0946
2005      3         0.0939
2005      4         0.1057
2005      5         0.0226
2005      6         0.1127
2005      7         0.1510
2005      8         0.1226
2005      9         0.0967
2005      10        0.0006
2005      11        0.1047
2005      12        0.0145
2006      1         0.1439
2006      2         0.0854
2006      3         0.1577
2006      4         0.1100
2006      5         0.1439
2006      6         0.0653
2006      7         0.1761
2006      8         0.0629
2006      9         0.4387
2006      10        0.1526
2006      11        0.1653
2006      12        0.1203
2007      1         0.2152
2007      2         0.1057
2007      3         0.0629
2007      4         0.0800
2007      5         0.0958
2007      6         0.0890
2007      7         0.0916
2007      8         0.0200
2007      9         0.0413
2007      10        0.1700
2007      11        0.0653
2007      12        0.2077
2008      1         0.0384
2008      2         0.1197
2008      3         0.2619
2008      4         0.1743
2008      5         0.1123
2008      6         0.0570
2008      7         0.0681
2008      8         0.0874
2008      9         0.0933
2008      10        0.0687
2008      11        0.0650
2008      12        0.1716
2009      1         0.0613
2009      2         0.0925
2009      3         0.0826
2009      4         0.1890
2009      5         0.1910
2009      6         0.0930
2009      7         0.1177
2009      8         0.0561
2009      9         0.1180
2009      10        0.3481
2009      11        0.0510
2009      12        0.2335
2010      1         0.0871
2010      2         0.0529
2010      3         0.1494
2010      4         0.1600
2010      5         0.1623
2010      6         0.0150
2010      7         0.1135
2010      8         0.0081
2010      9         0.0457
2010      10        0.0152
2010      11        0.1493
2010      12        0.0645
2011      1         0.0065
2011      2         0.1821
2011      3         0.1416
2011      4         0.4253
2011      5         0.2587
2011      6         0.0283
2011      7         0.0603
2011      8         0.0690
2011      9         0.0860
2011      10        0.0519
2011      11        0.3013
2011      12        0.2432
2012      1         0.0690
2012      2         0.0834
2012      3         0.1794
2012      4         0.0523
2012      5         0.0558
2012      6         0.0177
2012      7         0.0890
2012      8         0.0813
2012      9         0.1157
2012      10        0.0906
2012      11        0.0600
2012      12        0.1061
2013      1         0.1697
2013      2         0.1511
2013      3         0.0723
2013      4         0.1930
2013      5         0.1948
2013      6         0.1217
2013      7         0.0826
2013      8         0.2168
2013      9         0.0400
2013      10        0.1229
2013      11        0.0517
2013      12        0.2352
