Year      Month     Average
2009      4         0.7733
2009      5         0.1635
2009      6         0.1870
2009      7         0.1626
2009      8         0.1303
2009      9         0.0980
2009      10        0.3165
2009      11        0.0543
2009      12        0.0881
2010      1         0.0587
2010      2         0.0818
2010      3         0.0955
2010      4         0.2577
2010      5         0.1368
2010      6         0.1100
2010      7         0.2590
2010      8         0.1335
2010      9         0.2307
2010      10        0.0135
2010      11        0.0617
2010      12        0.0497
2011      1         0.0084
2011      2         0.0796
2011      3         0.0987
2011      4         0.0940
2011      5         0.1729
2011      6         0.1013
2011      7         0.0755
2011      8         0.0771
2011      9         0.0600
2011      10        0.0329
2011      11        0.1283
2011      12        0.0865
2012      1         0.0326
2012      2         0.0745
2012      3         0.1429
2012      4         0.2240
2012      5         0.0323
2012      6         0.0517
2012      7         0.0223
2012      8         0.0626
2012      9         0.0600
2012      10        0.0865
2012      11        0.0407
2012      12        0.0329
2013      1         0.0784
2013      2         0.0543
2013      3         0.0700
2013      4         0.2550
2013      5         0.3368
2013      6         0.0617
2013      7         0.0523
2013      8         0.0568
2013      9         0.0563
2013      10        0.0887
2013      11        0.0557
2013      12        0.0490
2014      1         0.0119
2014      2         0.0207
2014      3         0.0306
2014      4         0.2200
2014      5         0.0874
2014      6         0.2150
2014      7         0.0516
2014      8         0.0726
2014      9         0.2443
2014      10        0.3123
2014      11        0.0357
2014      12        0.0619
2015      1         0.0277
2015      2         0.0289
2015      3         0.0603
2015      4         0.1067
2015      5         0.1777
2015      6         0.1700
2015      7         0.2587
2015      8         0.1342
2015      9         0.0277
2015      10        0.0319
2015      11        0.2530
2015      12        0.2029
2016      1         0.0168
2016      2         0.0176
2016      3         0.0568
2016      4         0.0743
2016      5         0.1026
2016      6         0.0377
2016      7         0.3481
2016      8         0.1897
2016      9         0.1870
2016      10        0.0316
2016      11        0.0960
2016      12        0.0342
2017      1         0.0352
2017      2         0.0154
2017      3         0.0835
2017      4         0.2840
2017      5         0.1445
2017      6         0.1070
2017      7         0.1477
2017      8         0.0977
2017      9         0.0260
2017      10        0.1242
2017      11        0.0140
2017      12        0.0058
2018      1         0.0532
2018      2         0.0982
2018      3         0.0977
2018      4         0.0137
2018      5         0.0906
2018      6         0.1490
2018      7         0.0806
2018      8         0.1177
2018      9         0.0283
2018      10        0.1835
2018      11        0.0847
2018      12        0.1248
2019      1         0.0468
2019      2         0.0596
2019      3         0.1187
2019      4         0.1320
2019      5         0.1432
2019      6         0.2023
2019      7         0.1265
2019      8         0.1397
2019      9         0.0687
2019      10        0.1371
2019      11        0.0627
2019      12        0.0471
2020      1         0.1239
2020      2         0.0666
2020      3         0.1706
2020      4         0.1407
2020      5         0.1129
2020      6         0.2053
2020      7         0.1197
2020      8         0.1432
2020      9         0.1263
2020      10        0.0445
2020      11        0.0803
2020      12        0.0200
2021      1         0.0913
2021      2         0.0229
2021      3         0.1765
2021      4         0.1733
2021      5         0.1394
2021      6         0.3893
2021      7         0.1477
2021      8         0.0413
2021      9         0.0767
2021      10        0.1445
2021      11        0.0327
2021      12        0.0697
2022      1         0.0187
2022      2         0.0414
2022      3         0.1206
2022      4         0.1773
2022      5         0.1645
2022      6         0.0650
2022      7         0.0681
2022      8         0.1174
2022      9         0.0620
2022      10        0.0919
2022      11        0.0763
2022      12        0.0306
2023      1         0.0342
2023      2         0.0871
2023      3         0.0787
2023      4         0.0213
2023      5         0.0535
2023      6         0.0797
2023      7         0.1884
2023      8         0.1539
2023      9         0.0123
2023      10        0.0742
2023      11        0.0181
