Year      Month     Average
2008      6         0.1529
2008      7         0.2971
2008      8         0.0806
2008      9         0.3320
2008      10        0.0448
2008      11        0.0357
2008      12        0.0687
2009      1         0.0013
2009      2         0.1100
2009      3         0.1226
2009      4         0.2450
2009      5         0.1355
2009      6         0.2037
2009      7         0.1590
2009      8         0.1561
2009      9         0.0963
2009      10        0.3068
2009      11        0.0507
2009      12        0.0748
2010      1         0.0584
2010      2         0.0796
2010      3         0.0874
2010      4         0.2353
2010      5         0.1397
2010      6         0.1227
2010      7         0.2881
2010      8         0.1303
2010      9         0.1947
2010      10        0.0158
2010      11        0.0397
2010      12        0.0671
2011      1         0.0068
2011      2         0.0593
2011      3         0.0913
2011      4         0.0930
2011      5         0.1813
2011      6         0.0820
2011      7         0.0529
2011      8         0.0739
2011      9         0.0640
2011      10        0.0268
2011      11        0.1300
2011      12        0.0855
2012      1         0.0232
2012      2         0.0772
2012      3         0.1181
2012      4         0.2303
2012      5         0.0365
2012      6         0.0383
2012      7         0.0242
2012      8         0.0565
2012      9         0.0580
2012      10        0.0745
2012      11        0.0427
2012      12        0.0313
2013      1         0.0803
2013      2         0.0664
2013      3         0.0794
2013      4         0.2303
2013      5         0.3368
2013      6         0.0713
2013      7         0.0468
2013      8         0.0597
2013      9         0.0603
2013      10        0.0900
2013      11        0.0490
2013      12        0.0452
2014      1         0.0097
2014      2         0.0186
2014      3         0.0323
2014      4         0.2103
2014      5         0.0913
2014      6         0.2277
2014      7         0.0600
2014      8         0.1023
2014      9         0.2390
2014      10        0.3106
2014      11        0.0267
2014      12        0.0629
2015      1         0.0277
2015      2         0.0289
2015      3         0.0606
2015      4         0.0943
2015      5         0.1803
2015      6         0.2033
2015      7         0.2410
2015      8         0.1048
2015      9         0.0393
2015      10        0.0284
2015      11        0.2610
2015      12        0.2023
2016      1         0.0184
2016      2         0.0162
2016      3         0.0581
2016      4         0.0640
2016      5         0.0974
2016      6         0.0370
2016      7         0.3223
2016      8         0.1558
2016      9         0.2060
2016      10        0.0335
2016      11        0.0773
2016      12        0.0348
2017      1         0.0394
2017      2         0.0050
2017      3         0.0829
2017      4         0.2707
2017      5         0.1532
2017      6         0.1000
2017      7         0.1394
2017      8         0.1139
2017      9         0.0590
2017      10        0.1232
2017      11        0.0203
2017      12        0.0048
2018      1         0.0474
2018      2         0.0918
2018      3         0.0955
2018      4         0.0130
2018      5         0.0829
2018      6         0.1360
2018      7         0.0561
2018      8         0.1010
2018      9         0.0340
2018      10        0.2032
2018      11        0.0787
2018      12        0.1323
2019      1         0.0497
2019      2         0.0646
2019      3         0.1274
2019      4         0.1563
2019      5         0.1497
2019      6         0.1933
2019      7         0.1158
2019      8         0.1555
2019      9         0.0713
2019      10        0.1352
2019      11        0.0633
2019      12        0.0500
2020      1         0.0916
2020      2         0.0638
2020      3         0.1790
2020      4         0.1523
2020      5         0.1297
2020      6         0.1733
2020      7         0.1203
2020      8         0.1368
2020      9         0.1127
2020      10        0.0458
2020      11        0.0860
2020      12        0.0200
2021      1         0.0919
2021      2         0.0214
2021      3         0.1848
2021      4         0.1723
2021      5         0.1281
2021      6         0.3813
2021      7         0.1677
2021      8         0.0361
2021      9         0.0777
2021      10        0.1842
2021      11        0.0283
2021      12        0.0577
2022      1         0.0216
2022      2         0.0432
2022      3         0.1206
2022      4         0.1653
2022      5         0.1652
2022      6         0.0657
2022      7         0.0732
2022      8         0.0742
2022      9         0.0523
2022      10        0.1010
2022      11        0.0730
2022      12        0.0348
2023      1         0.0371
2023      2         0.1043
2023      3         0.0939
2023      4         0.0190
2023      5         0.0365
2023      6         0.1173
2023      7         0.1626
2023      8         0.1542
2023      9         0.0110
2023      10        0.0742
2023      11        0.0170
