Year      Month     Average
2000      1         0.0277
2000      2         0.1134
2000      3         0.0784
2000      4         0.0203
2000      5         0.1319
2000      6         0.2433
2000      7         0.1061
2000      8         0.3229
2000      9         0.0803
2000      10        0.1132
2000      11        0.0553
2000      12        0.0165
2001      1         0.1071
2001      2         0.1675
2001      3         0.0435
2001      4         0.1173
2001      5         0.2087
2001      6         0.1727
2001      7         0.1690
2001      8         0.0726
2001      9         0.0900
2001      10        0.1329
2001      11        0.0677
2001      12        0.0377
2002      1         0.0852
2002      2         0.0271
2002      3         0.0474
2002      4         0.1450
2002      5         0.2981
2002      6         0.0933
2002      7         0.1371
2002      8         0.2187
2002      9         0.0753
2002      10        0.1452
2002      11        0.0247
2002      12        0.0397
2003      1         0.0181
2003      2         0.0500
2003      3         0.0835
2003      4         0.1580
2003      5         0.1448
2003      6         0.2003
2003      7         0.0387
2003      8         0.0971
2003      9         0.2583
2003      10        0.0606
2003      11        0.0673
2003      12        0.1035
2004      1         0.0677
2004      2         0.0245
2004      3         0.2484
2004      4         0.0940
2004      5         0.1958
2004      6         0.0493
2004      7         0.1700
2004      8         0.1816
2004      9         0.0300
2004      10        0.1235
2004      11        0.1753
2004      12        0.0355
2005      1         0.1910
2005      2         0.0757
2005      3         0.0281
2005      4         0.1167
2005      5         0.1000
2005      6         0.1373
2005      7         0.0168
2005      8         0.2916
2005      9         0.1640
2005      10        0.0906
2005      11        0.0397
2005      12        0.0248
2006      1         0.0616
2006      2         0.0025
2006      3         0.1203
2006      4         0.0800
2006      5         0.0794
2006      6         0.1370
2006      7         0.0761
2006      8         0.1513
2006      9         0.0143
2006      10        0.1135
2006      11        0.0573
2006      12        0.0516
2007      1         0.0619
2007      2         0.0714
2007      3         0.0981
2007      4         0.1307
2007      5         0.1213
2007      6         0.1307
2007      7         0.0635
2007      8         0.0310
2007      9         0.0497
2007      10        0.0877
2007      11        0.0620
2007      12        0.1087
2008      1         0.0784
2008      2         0.1134
2008      3         0.1723
2008      4         0.1363
2008      5         0.2342
2008      6         0.1717
2008      7         0.3135
2008      8         0.0939
2008      9         0.3877
2008      10        0.0516
2008      11        0.0403
2008      12        0.0826
2009      1         0.0029
2009      2         0.1146
2009      3         0.1335
2009      4         0.2720
2009      5         0.1600
2009      6         0.2083
2009      7         0.1697
2009      8         0.1626
2009      9         0.1020
2009      10        0.3358
2009      11        0.0560
2009      12        0.0881
2010      1         0.0632
2010      2         0.0886
2010      3         0.1003
2010      4         0.2577
2010      5         0.1555
2010      6         0.1443
2010      7         0.3323
2010      8         0.1477
2010      9         0.2293
2010      10        0.0265
2010      11        0.0623
2010      12        0.0781
2011      1         0.0094
2011      2         0.0793
2011      3         0.1194
2011      4         0.1060
2011      5         0.1984
2011      6         0.0943
2011      7         0.0523
2011      8         0.0813
2011      9         0.0707
2011      10        0.0290
2011      11        0.1400
2011      12        0.0913
2012      1         0.0261
2012      2         0.0828
2012      3         0.1316
2012      4         0.2440
2012      5         0.0390
2012      6         0.0403
2012      7         0.0310
2012      8         0.0613
2012      9         0.0600
2012      10        0.0797
2012      11        0.0440
2012      12        0.0335
2013      1         0.0839
2013      2         0.0654
2013      3         0.0890
2013      4         0.2333
2013      5         0.3516
2013      6         0.0703
2013      7         0.0445
2013      8         0.0603
2013      9         0.0667
2013      10        0.0932
2013      11        0.0497
2013      12        0.0506
2014      1         0.0103
2014      2         0.0125
2014      3         0.0332
2014      4         0.2110
2014      5         0.0923
2014      6         0.2307
2014      7         0.0606
2014      8         0.1026
2014      9         0.2430
2014      10        0.3187
2014      11        0.0303
2014      12        0.0674
2015      1         0.0281
2015      2         0.0264
2015      3         0.0600
2015      4         0.0950
2015      5         0.1816
2015      6         0.2080
2015      7         0.2394
2015      8         0.1084
2015      9         0.0397
2015      10        0.0284
2015      11        0.2573
2015      12        0.2010
2016      1         0.0187
2016      2         0.0172
2016      3         0.0606
2016      4         0.0680
2016      5         0.1006
2016      6         0.0377
2016      7         0.3371
2016      8         0.1552
2016      9         0.2160
2016      10        0.0355
2016      11        0.0837
2016      12        0.0352
2017      1         0.0358
2017      2         0.0050
2017      3         0.0861
2017      4         0.2800
2017      5         0.1545
2017      6         0.1067
2017      7         0.1371
2017      8         0.1158
2017      9         0.0510
2017      10        0.1290
2017      11        0.0193
2017      12        0.0052
2018      1         0.0542
2018      2         0.0971
2018      3         0.0974
2018      4         0.0133
2018      5         0.0832
2018      6         0.1383
2018      7         0.0558
2018      8         0.1065
2018      9         0.0357
2018      10        0.2100
2018      11        0.0800
2018      12        0.1339
2019      1         0.0529
2019      2         0.0643
2019      3         0.1326
2019      4         0.1610
2019      5         0.1497
2019      6         0.1930
2019      7         0.1158
2019      8         0.1594
2019      9         0.0713
2019      10        0.1406
2019      11        0.0643
2019      12        0.0506
2020      1         0.1110
2020      2         0.0666
2020      3         0.1777
2020      4         0.1533
2020      5         0.1316
2020      6         0.1777
2020      7         0.1255
2020      8         0.1300
2020      9         0.1147
2020      10        0.0484
2020      11        0.0850
2020      12        0.0203
2021      1         0.0839
2021      2         0.0193
2021      3         0.1787
2021      4         0.1723
2021      5         0.1248
2021      6         0.3867
2021      7         0.1761
2021      8         0.0326
2021      9         0.0883
2021      10        0.1919
2021      11        0.0293
2021      12        0.0574
2022      1         0.0235
2022      2         0.0443
2022      3         0.1239
2022      4         0.1690
2022      5         0.1635
2022      6         0.0663
2022      7         0.0677
2022      8         0.0658
2022      9         0.0520
2022      10        0.0990
2022      11        0.0710
2022      12        0.0323
2023      1         0.0358
2023      2         0.0993
2023      3         0.0913
2023      4         0.0213
2023      5         0.0429
2023      6         0.1170
2023      7         0.1777
2023      8         0.1568
2023      9         0.0123
2023      10        0.0800
2023      11        0.0189
