Year      Month     Average
2000      1         0.1068
2000      2         0.1507
2000      3         0.0890
2000      4         0.0330
2000      5         0.1110
2000      6         0.1510
2000      7         0.1152
2000      8         0.0713
2000      9         0.1230
2000      10        0.0516
2000      11        0.1720
2000      12        0.0816
2001      1         0.0368
2001      2         0.1132
2001      3         0.0894
2001      4         0.0527
2001      5         0.0990
2001      6         0.0670
2001      7         0.2326
2001      8         0.0377
2001      9         0.0327
2001      10        0.1377
2001      11        0.1473
2001      12        0.2148
2002      1         0.1565
2002      2         0.0589
2002      3         0.2326
2002      4         0.2177
2002      5         0.3823
2002      6         0.1547
2002      7         0.0635
2002      8         0.1648
2002      9         0.0677
2002      10        0.0916
2002      11        0.0583
2002      12        0.1835
2003      1         0.0116
2003      2         0.1168
2003      3         0.0484
2003      4         0.1033
2003      5         0.2394
2003      6         0.1650
2003      7         0.0687
2003      8         0.2077
2003      9         0.1910
2003      10        0.0629
2003      11        0.1607
2003      12        0.0639
2004      1         0.0739
2004      2         0.0500
2004      3         0.1206
2004      4         0.1077
2004      5         0.1413
2004      6         0.0393
2004      7         0.1471
2004      8         0.1171
2004      9         0.0027
2004      10        0.1565
2004      11        0.2223
2004      12        0.0474
2005      1         0.1410
2005      2         0.0914
2005      3         0.0710
2005      4         0.1720
2005      5         0.0529
2005      6         0.0747
2005      7         0.1923
2005      8         0.0916
2005      9         0.1697
2005      10        0.0335
2005      11        0.1857
2005      12        0.0165
2006      1         0.1300
2006      2         0.0668
2006      3         0.2774
2006      4         0.1153
2006      5         0.1716
2006      6         0.0797
2006      7         0.1432
2006      8         0.2526
2006      9         0.1377
2006      10        0.2216
2006      11        0.1527
2006      12        0.1055
2007      1         0.1581
2007      2         0.1368
2007      3         0.0494
2007      4         0.1030
2007      5         0.1142
2007      6         0.0540
2007      7         0.0687
2007      8         0.0123
2007      9         0.0800
2007      10        0.2135
2007      11        0.0473
2007      12        0.2526
2008      1         0.0574
2008      2         0.1362
2008      3         0.5584
2008      4         0.2320
2008      5         0.1965
2008      6         0.1127
2008      7         0.1342
2008      8         0.0777
2008      9         0.1017
2008      10        0.0803
2008      11        0.0793
2008      12        0.1084
2009      1         0.0323
2009      2         0.0879
2009      3         0.1123
2009      4         0.1647
2009      5         0.1348
2009      6         0.1063
2009      7         0.0706
2009      8         0.1152
2009      9         0.0957
2009      10        0.3732
2009      11        0.0640
2009      12        0.1932
2010      1         0.0639
2010      2         0.0482
2010      3         0.1671
2010      4         0.1707
2010      5         0.1332
2010      6         0.0247
2010      7         0.0910
2010      8         0.0306
2010      9         0.1833
2010      10        0.0177
2010      11        0.1740
2010      12        0.0432
2011      1         0.0097
2011      2         0.1689
2011      3         0.1400
2011      4         0.6193
2011      5         0.2413
2011      6         0.1710
2011      7         0.0545
2011      8         0.0671
2011      9         0.1930
2011      10        0.0513
2011      11        0.3510
2011      12        0.2042
2012      1         0.1003
2012      2         0.0779
2012      3         0.1039
2012      4         0.0307
2012      5         0.0181
2012      6         0.0510
2012      7         0.1132
2012      8         0.0797
2012      9         0.1557
2012      10        0.1352
2012      11        0.0587
2012      12        0.0868
2013      1         0.1497
2013      2         0.1239
2013      3         0.1145
2013      4         0.1443
2013      5         0.1726
2013      6         0.3133
2013      7         0.0819
2013      8         0.1103
2013      9         0.0267
2013      10        0.1697
2013      11        0.1040
2013      12        0.2081
2014      1         0.0719
2014      2         0.0296
2014      3         0.0723
2014      4         0.2767
2014      5         0.1597
2014      6         0.1623
2014      7         0.0923
2014      8         0.1248
2014      9         0.0837
2014      10        0.1494
2014      11        0.0633
2014      12        0.0910
2015      1         0.1394
2015      2         0.0257
2015      3         0.2355
2015      4         0.1110
2015      5         0.1974
2015      6         0.1617
2015      7         0.1642
2015      8         0.0865
2015      9         0.0430
2015      10        0.0274
2015      11        0.3143
2015      12        0.2245
2016      1         0.0432
2016      2         0.1231
2016      3         0.1613
2016      4         0.1570
2016      5         0.3055
2016      6         0.0340
2016      7         0.2210
2016      8         0.3661
2016      9         0.1350
2016      10        0.0342
2016      11        0.1190
2016      12        0.1084
2017      1         0.0765
2017      2         0.0343
2017      3         0.0971
2017      4         0.4237
2017      5         0.1732
2017      6         0.0963
2017      7         0.1058
2017      8         0.0829
2017      9         0.0140
2017      10        0.0871
2017      11        0.0663
2017      12        0.0729
2018      1         0.0732
2018      2         0.3343
2018      3         0.1571
2018      4         0.1513
2018      5         0.1897
2018      6         0.2863
2018      7         0.0935
2018      8         0.1265
2018      9         0.1550
2018      10        0.1190
2018      11        0.1127
2018      12        0.1587
2019      1         0.1471
2019      2         0.2232
2019      3         0.1458
2019      4         0.1910
2019      5         0.2535
2019      6         0.1973
2019      7         0.2052
2019      8         0.1226
2019      9         0.1540
2019      10        0.2232
2019      11        0.1750
2019      12        0.0561
2020      1         0.1739
2020      2         0.1576
2020      3         0.1977
2020      4         0.0777
2020      5         0.1923
2020      6         0.1357
2020      7         0.1139
2020      8         0.1803
2020      9         0.0737
