Year      Month     Average
2004      10        0.1106
2004      11        0.1617
2004      12        0.0300
2005      1         0.1729
2005      2         0.0754
2005      3         0.0413
2005      4         0.0643
2005      5         0.0339
2005      6         0.1533
2005      7         0.0219
2005      8         0.2368
2005      9         0.0563
2005      10        0.1287
2005      11        0.0477
2005      12        0.0158
2006      1         0.0226
2006      2         0.0004
2006      3         0.0848
2006      4         0.1163
2006      5         0.0239
2006      6         0.0527
2006      7         0.0674
2006      8         0.0735
2006      9         0.0727
2006      10        0.1319
2006      11        0.0757
2006      12        0.0626
2007      1         0.0500
2007      2         0.0450
2007      3         0.0690
2007      4         0.1267
2007      5         0.0984
2007      6         0.2187
2007      7         0.0358
2007      8         0.0852
2007      9         0.1190
2007      10        0.1494
2007      11        0.0140
2007      12        0.0623
2008      1         0.0497
2008      2         0.1031
2008      3         0.1277
2008      4         0.2093
2008      5         0.1526
2008      6         0.2987
2008      7         0.1516
2008      8         0.0400
2008      9         0.3650
2008      10        0.0603
2008      11        0.0547
2008      12        0.0723
2009      1         0.0058
2009      2         0.0646
2009      3         0.1074
2009      4         0.2043
2009      5         0.1297
2009      6         0.2690
2009      7         0.1055
2009      8         0.0935
2009      9         0.1183
2009      10        0.3077
2009      11        0.0627
2009      12        0.0890
2010      1         0.0313
2010      2         0.0693
2010      3         0.0681
2010      4         0.1417
2010      5         0.2187
2010      6         0.0893
2010      7         0.3019
2010      8         0.0710
2010      9         0.3347
2010      10        0.0187
2010      11        0.0920
2010      12        0.0274
2011      1         0.0061
2011      2         0.0829
2011      3         0.0697
2011      4         0.1123
2011      5         0.1506
2011      6         0.0897
2011      7         0.0519
2011      8         0.1774
2011      9         0.0763
2011      10        0.0290
2011      11        0.1820
2011      12        0.0832
2012      1         0.0190
2012      2         0.0876
2012      3         0.1490
2012      4         0.1843
2012      5         0.0455
2012      6         0.0573
2012      7         0.0232
2012      8         0.0932
2012      9         0.0900
2012      10        0.1094
2012      11        0.0530
2012      12        0.0229
2013      1         0.0948
2013      2         0.0589
2013      3         0.0755
2013      4         0.1380
2013      5         0.2606
2013      6         0.1047
2013      7         0.0271
2013      8         0.0971
2013      9         0.0913
2013      10        0.1477
2013      11        0.0777
2013      12        0.0477
2014      1         0.0103
2014      2         0.0218
2014      3         0.0323
2014      4         0.1873
2014      5         0.0903
2014      6         0.2360
2014      7         0.0584
2014      8         0.1352
2014      9         0.1153
2014      10        0.2200
2014      11        0.0383
2014      12        0.0668
2015      1         0.0252
2015      2         0.0264
2015      3         0.0355
2015      4         0.1100
2015      5         0.2142
2015      6         0.2140
2015      7         0.1555
2015      8         0.0994
2015      9         0.0373
2015      10        0.0410
2015      11        0.2353
2015      12        0.1777
2016      1         0.0252
2016      2         0.0121
2016      3         0.0503
2016      4         0.0797
2016      5         0.1926
2016      6         0.0307
2016      7         0.2152
2016      8         0.2084
2016      9         0.1610
2016      10        0.0868
2016      11        0.0427
2016      12        0.0255
2017      1         0.0213
2017      2         0.0150
2017      3         0.0832
2017      4         0.2503
2017      5         0.1084
2017      6         0.2180
2017      7         0.1255
2017      8         0.2671
2017      9         0.0483
2017      10        0.1258
2017      11        0.0147
2017      12        0.0129
2018      1         0.0345
2018      2         0.1146
2018      3         0.0726
2018      4         0.0287
2018      5         0.1190
2018      6         0.1370
2018      7         0.0929
2018      8         0.0761
2018      9         0.1343
2018      10        0.0819
2018      11        0.0687
2018      12        0.1116
2019      1         0.0442
2019      2         0.0679
2019      3         0.1006
2019      4         0.0963
2019      5         0.1958
2019      6         0.1417
2019      7         0.1497
2019      8         0.2561
2019      9         0.1827
2019      10        0.1229
2019      11        0.0430
2019      12        0.0529
2020      1         0.0835
2020      2         0.0541
2020      3         0.1494
2020      4         0.1533
2020      5         0.1048
2020      6         0.1333
2020      7         0.2245
2020      8         0.1435
2020      9         0.0497
2020      10        0.0987
2020      11        0.0590
2020      12        0.0168
2021      1         0.0681
2021      2         0.0029
2021      3         0.2010
2021      4         0.1893
2021      5         0.2097
2021      6         0.1953
2021      7         0.0884
2021      8         0.0906
2021      9         0.0537
2021      10        0.1600
2021      11        0.0293
2021      12        0.0413
2022      1         0.0239
2022      2         0.0364
2022      3         0.1545
2022      4         0.1197
2022      5         0.1516
2022      6         0.1433
2022      7         0.1419
2022      8         0.1052
2022      9         0.0357
2022      10        0.0926
2022      11        0.0927
2022      12        0.0535
2023      1         0.0455
2023      2         0.0661
2023      3         0.0742
2023      4         0.0110
2023      5         0.0339
2023      6         0.0687
2023      7         0.1039
2023      8         0.0900
2023      9         0.0287
2023      10        0.0761
2023      11        0.0322
