Year      Month     Average
2000      1         0.0116
2000      2         0.1062
2000      3         0.0474
2000      4         0.0247
2000      5         0.0742
2000      6         0.2010
2000      7         0.1297
2000      8         0.1619
2000      9         0.0750
2000      10        0.0810
2000      11        0.0467
2000      12        0.0135
2001      1         0.0871
2001      2         0.1286
2001      3         0.0761
2001      4         0.1237
2001      5         0.2248
2001      6         0.2067
2001      7         0.0916
2001      8         0.1297
2001      9         0.1393
2001      10        0.1081
2001      11        0.0157
2001      12        0.0342
2002      1         0.0165
2002      2         0.0889
2002      3         0.0200
2002      4         0.1417
2002      5         0.4126
2002      6         0.0413
2002      7         0.1419
2002      8         0.2216
2002      9         0.0387
2002      10        0.0771
2002      11        0.0063
2002      12        0.0077
2003      1         0.0058
2003      2         0.0275
2003      3         0.0245
2003      4         0.1783
2003      5         0.1129
2003      6         0.0990
2003      7         0.0323
2003      8         0.1552
2003      9         0.1413
2003      10        0.0535
2003      11        0.0487
2003      12        0.0935
2004      1         0.0119
2004      2         0.0138
2004      3         0.1610
2004      4         0.1120
2004      5         0.1781
2004      6         0.1337
2004      7         0.1394
2004      8         0.2681
2004      9         0.0340
2004      10        0.1632
2004      11        0.0837
2004      12        0.0265
2005      1         0.0648
2005      2         0.0989
2005      3         0.0394
2005      4         0.0750
2005      5         0.0816
2005      6         0.1753
2005      7         0.0213
2005      8         0.1255
2005      9         0.0273
2005      10        0.1135
2005      11        0.0317
2005      12        0.0332
2006      1         0.0474
2006      2         0.0007
2006      3         0.1142
2006      4         0.0953
2006      5         0.0794
2006      6         0.1267
2006      7         0.1258
2006      8         0.1513
2006      9         0.0323
2006      10        0.1010
2006      11        0.0607
2006      12        0.0529
2007      1         0.0071
2007      2         0.0632
2007      3         0.1084
2007      4         0.0890
2007      5         0.1723
2007      6         0.1773
2007      7         0.0448
2007      8         0.1261
2007      9         0.0647
2007      10        0.1387
2007      11        0.0140
2007      12        0.0619
2008      1         0.0194
2008      2         0.1062
2008      3         0.1042
2008      4         0.1750
2008      5         0.1145
2008      6         0.4393
2008      7         0.3281
2008      8         0.0339
2008      9         0.3903
2008      10        0.0681
2008      11        0.0687
2008      12        0.0616
2009      1         0.0000
2009      2         0.0446
2009      3         0.1813
2009      4         0.1550
2009      5         0.1023
2009      6         0.1953
2009      7         0.1352
2009      8         0.2668
2009      9         0.0290
2009      10        0.2116
2009      11        0.0917
2009      12        0.0471
2010      1         0.0268
2010      2         0.0261
2010      3         0.0600
2010      4         0.1677
2010      5         0.2235
2010      6         0.2953
2010      7         0.2310
2010      8         0.1129
2010      9         0.2467
2010      10        0.0287
2010      11        0.0423
2010      12        0.0177
2011      1         0.0113
2011      2         0.0361
2011      3         0.0581
2011      4         0.1387
2011      5         0.1145
2011      6         0.1540
2011      7         0.1223
2011      8         0.0694
2011      9         0.0223
2011      10        0.0152
2011      11        0.1897
2011      12        0.0806
2012      1         0.0155
2012      2         0.0793
2012      3         0.1413
2012      4         0.0833
2012      5         0.0642
2012      6         0.0500
2012      7         0.1381
2012      8         0.0739
2012      9         0.1550
2012      10        0.0629
2012      11        0.0573
2012      12        0.0384
2013      1         0.0645
2013      2         0.0411
2013      3         0.0787
2013      4         0.2043
2013      5         0.2516
2013      6         0.0797
2013      7         0.0400
2013      8         0.0006
2013      9         0.0660
2013      10        0.0955
2013      11        0.0520
2013      12        0.0303
2014      1         0.0045
2014      2         0.0421
2014      3         0.0255
2014      4         0.0997
2014      5         0.0494
2014      6         0.1827
2014      7         0.0648
2014      8         0.2000
2014      9         0.3063
2014      10        0.1645
2014      11        0.0393
2014      12        0.0397
2015      1         0.0277
2015      2         0.0282
2015      3         0.0474
2015      4         0.1053
2015      5         0.1384
2015      6         0.3043
2015      7         0.2123
2015      8         0.0577
2015      9         0.0433
2015      10        0.0690
2015      11        0.1943
2015      12        0.0968
2016      1         0.0381
2016      2         0.0310
2016      3         0.0784
2016      4         0.0807
2016      5         0.1042
2016      6         0.1563
2016      7         0.1132
2016      8         0.1961
2016      9         0.1030
2016      10        0.0658
2016      11        0.0293
2016      12        0.0277
2017      1         0.0387
2017      2         0.0018
2017      3         0.1232
2017      4         0.1583
2017      5         0.0832
2017      6         0.2310
2017      7         0.1055
2017      8         0.0913
2017      9         0.0230
2017      10        0.1542
2017      11        0.0113
2017      12        0.0116
2018      1         0.0265
2018      2         0.0843
2018      3         0.0568
2018      4         0.0140
2018      5         0.1197
2018      6         0.0940
2018      7         0.0403
2018      8         0.1661
2018      9         0.1270
2018      10        0.1655
2018      11        0.0317
2018      12        0.0910
2019      1         0.0219
2019      2         0.0507
2019      3         0.1013
2019      4         0.1040
2019      5         0.4058
2019      6         0.1900
2019      7         0.1194
2019      8         0.2245
2019      9         0.1943
2019      10        0.1142
2019      11        0.0330
2019      12        0.0552
2020      1         0.0590
2020      2         0.0197
2020      3         0.1184
2020      4         0.0783
2020      5         0.2187
2020      6         0.0917
2020      7         0.1590
2020      8         0.0210
2020      9         0.1960
2020      10        0.0177
2020      11        0.0663
2020      12        0.0452
2021      1         0.0510
2021      2         0.0046
2021      3         0.1071
2021      4         0.1540
2021      5         0.1148
2021      6         0.3050
2021      7         0.1516
2021      8         0.0600
2021      9         0.0417
2021      10        0.1452
2021      11        0.0333
2021      12        0.0242
2022      1         0.0158
2022      2         0.0146
2022      3         0.1332
2022      4         0.1027
2022      5         0.1806
2022      6         0.1590
2022      7         0.2165
2022      8         0.0952
2022      9         0.0513
2022      10        0.0542
2022      11        0.1000
2022      12        0.0377
2023      1         0.0694
2023      2         0.0986
2023      3         0.0829
2023      4         0.0490
2023      5         0.0442
2023      6         0.0640
2023      7         0.0606
2023      8         0.2616
2023      9         0.0390
2023      10        0.1032
2023      11        0.0226
