Year      Month     Average
2015      4         0.0271
2015      5         0.1748
2015      6         0.3357
2015      7         0.1755
2015      8         0.0781
2015      9         0.0853
2015      10        0.0516
2015      11        0.2087
2015      12        0.3042
2016      1         0.0135
2016      2         0.0159
2016      3         0.0629
2016      4         0.1513
2016      5         0.1190
2016      6         0.0067
2016      7         0.1997
2016      8         0.2116
2016      9         0.1223
2016      10        0.0161
2016      11        0.0573
2016      12        0.0235
2017      1         0.0245
2017      2         0.0086
2017      3         0.1077
2017      4         0.2937
2017      5         0.1906
2017      6         0.1387
2017      7         0.0806
2017      8         0.0668
2017      9         0.0337
2017      10        0.0697
2017      11        0.0137
2017      12        0.0061
2018      1         0.0519
2018      2         0.1454
2018      3         0.1523
2018      4         0.0720
2018      5         0.1026
2018      6         0.1200
2018      7         0.0245
2018      8         0.1223
2018      9         0.0383
2018      10        0.1013
2018      11        0.1133
2018      12        0.1329
2019      1         0.0542
2019      2         0.0907
2019      3         0.1671
2019      4         0.1503
2019      5         0.1510
2019      6         0.1680
2019      7         0.0774
2019      8         0.2197
2019      9         0.0233
2019      10        0.1894
2019      11        0.0597
2019      12        0.0510
2020      1         0.1216
2020      2         0.0745
2020      3         0.1029
2020      4         0.1343
2020      5         0.1571
2020      6         0.1583
2020      7         0.1887
2020      8         0.1206
2020      9         0.0827
2020      10        0.0639
2020      11        0.1303
2020      12        0.0361
2021      1         0.1019
2021      2         0.0275
2021      3         0.1213
2021      4         0.1513
2021      5         0.0926
2021      6         0.2910
2021      7         0.1323
2021      8         0.0803
2021      9         0.0610
2021      10        0.0858
2021      11        0.0107
2021      12        0.1026
2022      1         0.0381
2022      2         0.0761
2022      3         0.1394
2022      4         0.1153
2022      5         0.2374
2022      6         0.0597
2022      7         0.2848
2022      8         0.1406
2022      9         0.0720
2022      10        0.1155
2022      11        0.0960
2022      12        0.0235
2023      1         0.0448
2023      2         0.0804
2023      3         0.1219
2023      4         0.0493
2023      5         0.0594
2023      6         0.0427
2023      7         0.1181
2023      8         0.1668
2023      9         0.0237
2023      10        0.1052
2023      11        0.0170
