Year      Month     Average
2005      12        0.0200
2006      1         0.0935
2006      2         0.0186
2006      3         0.1648
2006      4         0.1090
2006      5         0.2219
2006      6         0.0303
2006      7         0.1271
2006      8         0.0968
2006      9         0.0803
2006      10        0.1200
2006      11        0.1937
2006      12        0.0719
2007      1         0.1177
2007      2         0.0996
2007      3         0.0781
2007      4         0.1147
2007      5         0.1619
2007      6         0.1023
2007      7         0.0387
2007      8         0.0519
2007      9         0.1313
2007      10        0.1123
2007      11        0.0320
2007      12        0.1390
2008      1         0.0194
2008      2         0.2190
2008      3         0.3410
2008      4         0.1990
2008      5         0.1723
2008      6         0.1413
2008      7         0.1535
2008      8         0.1232
2008      9         0.2450
2008      10        0.0661
2008      11        0.0580
2008      12        0.1519
2009      1         0.0458
2009      2         0.0721
2009      3         0.1148
2009      4         0.1563
2009      5         0.1781
2009      6         0.1950
2009      7         0.0816
2009      8         0.0510
2009      9         0.1817
2009      10        0.3219
2009      11        0.0630
2009      12        0.0861
2010      1         0.0971
2010      2         0.0521
2010      3         0.1087
2010      4         0.1130
2010      5         0.1600
2010      6         0.0607
2010      7         0.1961
2010      8         0.0542
2010      9         0.2613
2010      10        0.0119
2010      11        0.1140
2010      12        0.0229
2011      1         0.0142
2011      2         0.1375
2011      3         0.1448
2011      4         0.3897
2011      5         0.2194
2011      6         0.0770
2011      7         0.1097
2011      8         0.1671
2011      9         0.1250
2011      10        0.0635
2011      11        0.1617
2011      12        0.1184
2012      1         0.0732
2012      2         0.0248
2012      3         0.0890
2012      4         0.0517
2012      5         0.0274
2012      6         0.0883
2012      7         0.0639
2012      8         0.1184
2012      9         0.1380
2012      10        0.0732
2012      11        0.0563
2012      12        0.0600
2013      1         0.1361
2013      2         0.1279
2013      3         0.1181
2013      4         0.1440
2013      5         0.1794
2013      6         0.1727
2013      7         0.1287
2013      8         0.2152
2013      9         0.0517
2013      10        0.1174
2013      11        0.0530
2013      12        0.0542
2014      1         0.0597
2014      2         0.0221
2014      3         0.0861
2014      4         0.1337
2014      5         0.0872
2014      6         0.2480
2014      7         0.0610
2014      8         0.0377
2014      9         0.0697
2014      10        0.1961
2014      11        0.0980
2014      12        0.1003
2015      1         0.0535
2015      2         0.0482
2015      3         0.1897
2015      4         0.0983
2015      5         0.1423
2015      6         0.1440
2015      7         0.2661
2015      8         0.1642
2015      9         0.0267
2015      10        0.0348
2015      11        0.2887
2015      12        0.3300
2016      1         0.0255
2016      2         0.0569
2016      3         0.1084
2016      4         0.1027
2016      5         0.3006
2016      6         0.1173
2016      7         0.2687
2016      8         0.1977
2016      9         0.0847
2016      10        0.0694
2016      11        0.0500
2016      12        0.0323
2017      1         0.0726
2017      2         0.0393
2017      3         0.1497
2017      4         0.4937
2017      5         0.2494
2017      6         0.0903
2017      7         0.1387
2017      8         0.1923
2017      9         0.0150
2017      10        0.0526
2017      11        0.0590
2017      12        0.0623
2018      1         0.0565
2018      2         0.2461
2018      3         0.1610
2018      4         0.1360
2018      5         0.2913
2018      6         0.2047
2018      7         0.0642
2018      8         0.1413
2018      9         0.0687
2018      10        0.1484
2018      11        0.0787
2018      12        0.1642
2019      1         0.1287
2019      2         0.1968
2019      3         0.2003
2019      4         0.2207
2019      5         0.3397
2019      6         0.1513
2019      7         0.1345
2019      8         0.2455
2019      9         0.0373
2019      10        0.1971
2019      11        0.1287
2019      12        0.0603
2020      1         0.1516
2020      2         0.1552
2020      3         0.2610
2020      4         0.1260
2020      5         0.2106
2020      6         0.1100
2020      7         0.2058
2020      8         0.0919
2020      9         0.0457
2020      10        0.1758
2020      11        0.1277
2020      12        0.0603
2021      1         0.1300
2021      2         0.0404
2021      3         0.1977
2021      4         0.1280
2021      5         0.1606
2021      6         0.1230
2021      7         0.1090
2021      8         0.0948
2021      9         0.0347
2021      10        0.2255
2021      11        0.0387
2021      12        0.1697
2022      1         0.0752
2022      2         0.2039
2022      3         0.1916
2022      4         0.1450
2022      5         0.1697
2022      6         0.0130
2022      7         0.0394
2022      8         0.2316
2022      9         0.0607
2022      10        0.0413
2022      11        0.1297
2022      12        0.1416
2023      1         0.0800
2023      2         0.1029
2023      3         0.3687
2023      4         0.0487
2023      5         0.1668
2023      6         0.0487
2023      7         0.1461
2023      8         0.1132
2023      9         0.1170
2023      10        0.0997
2023      11        0.0126
