Year      Month     Average
2004      4         0.1057
2004      5         0.1661
2004      6         0.0783
2004      7         0.1655
2004      8         0.2545
2004      9         0.0370
2004      10        0.1529
2004      11        0.1977
2004      12        0.0271
2005      1         0.2258
2005      2         0.0800
2005      3         0.0187
2005      4         0.0940
2005      5         0.0445
2005      6         0.0810
2005      7         0.0087
2005      8         0.2448
2005      9         0.0880
2005      10        0.0823
2005      11        0.0467
2005      12        0.0203
2006      1         0.0435
2006      2         0.0029
2006      3         0.1055
2006      4         0.1070
2006      5         0.0861
2006      6         0.0547
2006      7         0.0494
2006      8         0.0571
2006      9         0.0510
2006      10        0.0884
2006      11        0.0590
2006      12        0.0606
2007      1         0.0500
2007      2         0.0782
2007      3         0.1052
2007      4         0.1343
2007      5         0.1855
2007      6         0.2407
2007      7         0.0568
2007      8         0.0400
2007      9         0.1050
2007      10        0.0697
2007      11        0.0420
2007      12        0.0877
2008      1         0.0535
2008      2         0.1345
2008      3         0.1897
2008      4         0.1580
2008      5         0.2319
2008      6         0.2870
2008      7         0.1648
2008      8         0.0871
2008      9         0.3013
2008      10        0.0552
2008      11        0.0317
2008      12        0.0790
2009      1         0.0035
2009      2         0.0946
2009      3         0.1358
2009      4         0.1510
2009      5         0.1500
2009      6         0.2237
2009      7         0.1958
2009      8         0.1542
2009      9         0.1547
2009      10        0.2845
2009      11        0.0863
2009      12        0.0752
2010      1         0.0642
2010      2         0.0832
2010      3         0.0887
2010      4         0.1150
2010      5         0.1742
2010      6         0.0987
2010      7         0.2481
2010      8         0.1100
2010      9         0.3233
2010      10        0.0106
2010      11        0.0673
2010      12        0.0545
2011      1         0.0084
2011      2         0.1096
2011      3         0.0965
2011      4         0.1180
2011      5         0.2545
2011      6         0.1183
2011      7         0.0239
2011      8         0.1690
2011      9         0.0887
2011      10        0.0371
2011      11        0.1577
2011      12        0.1100
2012      1         0.0090
2012      2         0.0807
2012      3         0.1610
2012      4         0.2120
2012      5         0.0490
2012      6         0.0297
2012      7         0.0148
2012      8         0.0848
2012      9         0.0833
2012      10        0.1132
2012      11        0.0297
2012      12        0.0339
2013      1         0.0855
2013      2         0.0536
2013      3         0.1052
2013      4         0.2223
2013      5         0.2813
2013      6         0.0880
2013      7         0.0503
2013      8         0.1416
2013      9         0.0983
2013      10        0.1403
2013      11        0.0537
2013      12        0.0390
2014      1         0.0129
2014      2         0.0104
2014      3         0.0319
2014      4         0.1553
2014      5         0.0926
2014      6         0.1500
2014      7         0.0426
2014      8         0.1597
2014      9         0.1110
2014      10        0.2787
2014      11        0.0330
2014      12        0.0868
2015      1         0.0232
2015      2         0.0236
2015      3         0.0577
2015      4         0.0917
2015      5         0.1974
2015      6         0.3113
2015      7         0.1997
2015      8         0.1110
2015      9         0.0467
2015      10        0.0390
2015      11        0.2703
2015      12        0.2329
2016      1         0.0219
2016      2         0.0155
2016      3         0.0803
2016      4         0.1453
2016      5         0.1397
2016      6         0.0467
2016      7         0.1429
2016      8         0.1719
2016      9         0.1967
2016      10        0.0487
2016      11        0.0347
2016      12        0.0287
2017      1         0.0377
2017      2         0.0036
2017      3         0.0971
2017      4         0.2957
2017      5         0.1881
2017      6         0.1653
2017      7         0.0819
2017      8         0.2690
2017      9         0.0183
2017      10        0.1916
2017      11        0.0137
2017      12        0.0116
2018      1         0.0548
2018      2         0.0911
2018      3         0.0835
2018      4         0.0260
2018      5         0.1803
2018      6         0.2343
2018      7         0.0332
2018      8         0.1368
2018      9         0.0497
2018      10        0.2074
2018      11        0.0967
2018      12        0.1245
2019      1         0.0468
2019      2         0.0621
2019      3         0.1240
2019      4         0.1647
2019      5         0.1819
2019      6         0.1507
2019      7         0.1348
2019      8         0.2194
2019      9         0.1090
2019      10        0.1694
2019      11        0.0700
2019      12        0.0442
2020      1         0.1455
2020      2         0.0952
2020      3         0.1910
2020      4         0.1253
2020      5         0.1145
2020      6         0.2153
2020      7         0.2477
2020      8         0.0465
2020      9         0.0703
2020      10        0.0777
2020      11        0.1077
2020      12        0.0223
2021      1         0.0916
2021      2         0.0179
2021      3         0.1797
2021      4         0.2063
2021      5         0.1655
2021      6         0.1943
2021      7         0.1684
2021      8         0.0506
2021      9         0.0923
2021      10        0.1884
2021      11        0.0303
2021      12        0.0635
2022      1         0.0271
2022      2         0.0725
2022      3         0.1529
2022      4         0.1463
2022      5         0.1835
2022      6         0.0697
2022      7         0.1113
2022      8         0.1548
2022      9         0.0447
2022      10        0.1365
2022      11        0.0890
2022      12        0.0526
2023      1         0.0632
2023      2         0.0900
2023      3         0.0884
2023      4         0.0227
2023      5         0.0465
2023      6         0.0207
2023      7         0.1065
2023      8         0.2542
2023      9         0.0547
2023      10        0.0906
2023      11        0.0315
