01/01/2000 0.43
start_date end_date duration peak sum average median
04/01/2000 05/01/2000 1 -2.43 -2.43 -2.43 -2.43
12/01/2000 01/01/2001 1 -2.03 -2.03 -2.03 -2.03
07/01/2003 09/01/2003 2 -1.6 -1.71 -0.85 -0.85
03/01/2005 08/01/2005 5 -2.24 -7.17 -1.43 -1.7
02/01/2006 03/01/2006 1 -2.41 -2.41 -2.41 -2.41
01/01/2009 02/01/2009 1 -2.3 -2.3 -2.3 -2.3
10/01/2010 12/01/2010 2 -1.85 -2.19 -1.09 -1.09
05/01/2012 01/01/2013 8 -1.58 -5 -0.63 -0.36
08/01/2015 11/01/2015 3 -2.57 -4.69 -1.56 -1.12
06/01/2016 07/01/2016 1 -1.7 -1.7 -1.7 -1.7
10/01/2016 03/01/2017 5 -1.67 -3.94 -0.79 -0.35
12/01/2017 01/01/2018 1 -2.26 -2.26 -2.26 -2.26
04/01/2018 08/01/2018 4 -2.08 -4.31 -1.08 -1.02
04/01/2023 07/01/2023 3 -1.97 -5.59 -1.86 -1.84
