01/01/2000 0.43
start_date end_date duration peak sum average median
04/01/2000 05/01/2000 1 -2.43 -2.43 -2.43 -2.43
12/01/2000 01/01/2001 1 -2.03 -2.03 -2.03 -2.03
03/01/2001 04/01/2001 1 -1.25 -1.25 -1.25 -1.25
03/01/2002 04/01/2002 1 -1.23 -1.23 -1.23 -1.23
11/01/2002 12/01/2002 1 -1.18 -1.18 -1.18 -1.18
01/01/2003 02/01/2003 1 -1.01 -1.01 -1.01 -1.01
07/01/2003 09/01/2003 2 -1.6 -1.71 -0.85 -0.85
06/01/2004 07/01/2004 1 -1.42 -1.42 -1.42 -1.42
03/01/2005 08/01/2005 5 -2.24 -7.17 -1.43 -1.7
02/01/2006 03/01/2006 1 -2.41 -2.41 -2.41 -2.41
08/01/2007 12/01/2007 4 -1.22 -2.58 -0.65 -0.49
01/01/2009 02/01/2009 1 -2.3 -2.3 -2.3 -2.3
10/01/2010 12/01/2010 2 -1.85 -2.19 -1.09 -1.09
01/01/2011 02/01/2011 1 -1.43 -1.43 -1.43 -1.43
08/01/2011 11/01/2011 3 -1.43 -3.18 -1.06 -1.05
01/01/2012 02/01/2012 1 -1.02 -1.02 -1.02 -1.02
05/01/2012 01/01/2013 8 -1.58 -5 -0.63 -0.36
06/01/2013 04/01/2014 10 -1.26 -6.4 -0.64 -0.77
08/01/2015 11/01/2015 3 -2.57 -4.69 -1.56 -1.12
02/01/2016 07/01/2016 5 -1.7 -4.5 -0.9 -1.09
10/01/2016 03/01/2017 5 -1.67 -3.94 -0.79 -0.35
09/01/2017 10/01/2017 1 -1.41 -1.41 -1.41 -1.41
11/01/2017 01/01/2018 2 -2.26 -3.29 -1.65 -1.65
04/01/2018 08/01/2018 4 -2.08 -4.31 -1.08 -1.02
02/01/2021 03/01/2021 1 -1.17 -1.17 -1.17 -1.17
11/01/2021 12/01/2021 1 -1.02 -1.02 -1.02 -1.02
04/01/2023 07/01/2023 3 -1.97 -5.59 -1.86 -1.84
