01/01/2000 0.43
spi frequency percentage rankingpercentile
-2.6 1 0.35 2
-2.4 2 0.7 4
-2.3 2 0.7 6
-2.2 1 0.35 8
-2.1 2 0.7 10
-2 3 1.05 12
-1.9 1 0.35 14
-1.8 2 0.7 16
-1.7 3 1.05 18
-1.6 4 1.4 20
-1.4 4 1.4 22
-1.3 2 0.7 24
-1.2 8 2.8 26
-1.1 4 1.4 28
-1 9 3.15 30
-0.9 6 2.1 32
-0.8 7 2.45 34
-0.7 9 3.15 36
-0.6 7 2.45 38
-0.5 9 3.15 40
-0.4 11 3.85 42
-0.3 11 3.85 44
-0.2 14 4.9 46
-0.1 17 5.94 48
0 13 4.55 50
0.1 10 3.5 52
0.2 13 4.55 54
0.3 7 2.45 56
0.4 19 6.64 58
0.5 12 4.2 60
0.6 7 2.45 62
0.7 9 3.15 64
0.8 5 1.75 66
0.9 8 2.8 68
1 4 1.4 70
1.1 1 0.35 72
1.2 5 1.75 74
1.3 6 2.1 76
1.4 6 2.1 78
1.5 6 2.1 80
1.6 2 0.7 82
1.8 3 1.05 84
1.9 3 1.05 86
2.1 1 0.35 88
2.2 2 0.7 90
2.3 1 0.35 92
2.4 1 0.35 94
2.5 1 0.35 96
2.7 1 0.35 98
3 1 0.35 100
