01/01/2000 0.17
spi frequency percentage rankingpercentile
-1.7 3 6.12 3.7
-1.5 1 2.04 7.41
-1.4 2 4.08 11.11
-1.2 2 4.08 14.81
-1.1 2 4.08 18.52
-1 1 2.04 22.22
-0.7 3 6.12 25.93
-0.6 1 2.04 29.63
-0.5 3 6.12 33.33
-0.4 3 6.12 37.04
-0.2 1 2.04 40.74
-0.1 2 4.08 44.44
0.1 1 2.04 48.15
0.2 1 2.04 51.85
0.3 2 4.08 55.56
0.4 3 6.12 59.26
0.5 2 4.08 62.96
0.6 1 2.04 66.67
0.7 2 4.08 70.37
0.8 1 2.04 74.07
0.9 1 2.04 77.78
1 1 2.04 81.48
1.1 4 8.16 85.19
1.3 2 4.08 88.89
1.4 1 2.04 92.59
1.6 2 4.08 96.3
1.7 1 2.04 100
