01/01/2000 2.63
start_date end_date duration peak sum average median
07/01/2000 09/01/2000 2 -1.02 -1.87 -0.93 -0.93
12/01/2000 02/01/2001 2 -2.26 -2.78 -1.39 -1.39
04/01/2001 09/01/2001 5 -3.17 -5.81 -1.16 -0.71
04/01/2002 07/01/2002 3 -1.29 -1.81 -0.6 -0.38
11/01/2002 12/01/2002 1 -1.07 -1.07 -1.07 -1.07
01/01/2003 02/01/2003 1 -1.23 -1.23 -1.23 -1.23
03/01/2003 05/01/2003 2 -1.18 -1.44 -0.72 -0.72
09/01/2004 10/01/2004 1 -3.11 -3.11 -3.11 -3.11
05/01/2005 07/01/2005 2 -2.97 -3.32 -1.66 -1.66
10/01/2005 01/01/2006 3 -2.67 -5.48 -1.83 -2.44
03/01/2007 09/01/2007 6 -2.4 -6.63 -1.1 -0.96
06/01/2008 08/01/2008 2 -2.38 -4.14 -2.07 -2.07
11/01/2008 12/01/2008 1 -1.09 -1.09 -1.09 -1.09
11/01/2009 12/01/2009 1 -1.53 -1.53 -1.53 -1.53
02/01/2010 07/01/2010 5 -1.58 -3.67 -0.73 -0.41
08/01/2010 09/01/2010 1 -2.66 -2.66 -2.66 -2.66
10/01/2010 11/01/2010 1 -2.17 -2.17 -2.17 -2.17
01/01/2011 02/01/2011 1 -2.62 -2.62 -2.62 -2.62
07/01/2011 09/01/2011 2 -1.03 -1.31 -0.66 -0.66
04/01/2012 06/01/2012 2 -1.86 -2.99 -1.49 -1.49
03/01/2013 04/01/2013 1 -1.69 -1.69 -1.69 -1.69
02/01/2014 04/01/2014 2 -1.2 -1.65 -0.82 -0.82
01/01/2015 03/01/2015 2 -1.02 -1.09 -0.54 -0.54
06/01/2016 08/01/2016 2 -1.1 -1.39 -0.69 -0.69
10/01/2016 12/01/2016 2 -1.37 -1.55 -0.78 -0.78
02/01/2017 03/01/2017 1 -1.12 -1.12 -1.12 -1.12
09/01/2017 02/01/2018 5 -1.92 -4.62 -0.92 -0.83
07/01/2018 08/01/2018 1 -1.81 -1.81 -1.81 -1.81
06/01/2022 08/01/2022 2 -1.02 -1.09 -0.54 -0.54
09/01/2022 12/01/2022 3 -1.92 -2.89 -0.96 -0.55
06/01/2023 07/01/2023 1 -1.12 -1.12 -1.12 -1.12
