01/01/2000 2.63
spi frequency percentage rankingpercentile
-3.2 1 0.35 1.92
-3.1 1 0.35 3.85
-3 1 0.35 5.77
-2.7 2 0.7 7.69
-2.6 1 0.35 9.62
-2.4 3 1.05 11.54
-2.3 1 0.35 13.46
-2.2 1 0.35 15.38
-2 1 0.35 17.31
-1.9 3 1.05 19.23
-1.8 3 1.05 21.15
-1.7 2 0.7 23.08
-1.6 1 0.35 25
-1.5 1 0.35 26.92
-1.4 2 0.7 28.85
-1.3 1 0.35 30.77
-1.2 5 1.75 32.69
-1.1 6 2.1 34.62
-1 6 2.1 36.54
-0.9 7 2.45 38.46
-0.8 6 2.1 40.38
-0.7 7 2.45 42.31
-0.6 7 2.45 44.23
-0.5 9 3.15 46.15
-0.4 13 4.55 48.08
-0.3 13 4.55 50
-0.2 9 3.15 51.92
-0.1 15 5.24 53.85
0 17 5.94 55.77
0.1 11 3.85 57.69
0.2 5 1.75 59.62
0.3 17 5.94 61.54
0.4 10 3.5 63.46
0.5 10 3.5 65.38
0.6 20 6.99 67.31
0.7 9 3.15 69.23
0.8 13 4.55 71.15
0.9 8 2.8 73.08
1 4 1.4 75
1.1 6 2.1 76.92
1.2 4 1.4 78.85
1.3 4 1.4 80.77
1.4 4 1.4 82.69
1.5 1 0.35 84.62
1.6 2 0.7 86.54
1.7 2 0.7 88.46
1.8 2 0.7 90.38
1.9 1 0.35 92.31
2 1 0.35 94.23
2.2 3 1.05 96.15
2.3 2 0.7 98.08
2.5 2 0.7 100
