01/01/2000 6.53
start_date end_date duration peak sum average median
12/01/2000 02/01/2001 2 -2 -3.31 -1.66 -1.66
04/01/2001 07/01/2001 3 -2.65 -4.03 -1.34 -1.32
01/01/2003 02/01/2003 1 -1.92 -1.92 -1.92 -1.92
03/01/2003 04/01/2003 1 -1.5 -1.5 -1.5 -1.5
09/01/2004 10/01/2004 1 -2.06 -2.06 -2.06 -2.06
05/01/2005 07/01/2005 2 -3.08 -3.65 -1.83 -1.83
10/01/2005 11/01/2005 1 -1.73 -1.73 -1.73 -1.73
12/01/2005 01/01/2006 1 -2.11 -2.11 -2.11 -2.11
08/01/2007 09/01/2007 1 -2.17 -2.17 -2.17 -2.17
11/01/2009 12/01/2009 1 -1.71 -1.71 -1.71 -1.71
06/01/2010 09/01/2010 3 -2.07 -3.17 -1.06 -0.96
01/01/2011 02/01/2011 1 -2.3 -2.3 -2.3 -2.3
07/01/2011 09/01/2011 2 -1.64 -2.41 -1.21 -1.21
04/01/2012 09/01/2012 5 -2.21 -7.04 -1.41 -1.11
10/01/2016 12/01/2016 2 -1.65 -1.87 -0.94 -0.94
09/01/2019 10/01/2019 1 -1.73 -1.73 -1.73 -1.73
06/01/2023 07/01/2023 1 -1.96 -1.96 -1.96 -1.96
