01/01/2011 0.39
spi frequency percentage rankingpercentile
-2.1 3 1.95 2.5
-1.9 3 1.95 5
-1.8 1 0.65 7.5
-1.6 2 1.3 10
-1.4 2 1.3 12.5
-1.3 5 3.25 15
-1.2 6 3.9 17.5
-1.1 2 1.3 20
-1 8 5.19 22.5
-0.9 4 2.6 25
-0.8 2 1.3 27.5
-0.7 4 2.6 30
-0.6 5 3.25 32.5
-0.5 6 3.9 35
-0.4 3 1.95 37.5
-0.3 6 3.9 40
-0.2 7 4.55 42.5
-0.1 2 1.3 45
0 6 3.9 47.5
0.1 4 2.6 50
0.2 10 6.49 52.5
0.3 7 4.55 55
0.4 6 3.9 57.5
0.5 9 5.84 60
0.6 3 1.95 62.5
0.7 5 3.25 65
0.8 3 1.95 67.5
0.9 4 2.6 70
1 1 0.65 72.5
1.1 3 1.95 75
1.2 5 3.25 77.5
1.3 2 1.3 80
1.4 3 1.95 82.5
1.5 1 0.65 85
1.6 1 0.65 87.5
1.7 2 1.3 90
1.9 4 2.6 92.5
2.1 2 1.3 95
2.3 1 0.65 97.5
2.4 1 0.65 100
