01/01/2000 0.68
start_date end_date duration peak sum average median
04/01/2000 05/01/2000 1 -2.02 -2.02 -2.02 -2.02
06/01/2004 07/01/2004 1 -1.62 -1.62 -1.62 -1.62
03/01/2005 06/01/2005 3 -2.4 -3.06 -1.02 -0.6
07/01/2005 08/01/2005 1 -1.76 -1.76 -1.76 -1.76
02/01/2006 03/01/2006 1 -2.56 -2.56 -2.56 -2.56
01/01/2009 02/01/2009 1 -2.16 -2.16 -2.16 -2.16
10/01/2010 12/01/2010 2 -1.93 -2.27 -1.14 -1.14
10/01/2011 11/01/2011 1 -1.75 -1.75 -1.75 -1.75
05/01/2012 01/01/2013 8 -2.25 -7.99 -1 -0.93
06/01/2013 09/01/2013 3 -1.65 -3.52 -1.17 -0.95
05/01/2014 06/01/2014 1 -1.5 -1.5 -1.5 -1.5
06/01/2016 07/01/2016 1 -1.66 -1.66 -1.66 -1.66
02/01/2017 04/01/2017 2 -1.8 -2.09 -1.04 -1.04
12/01/2017 01/01/2018 1 -2.18 -2.18 -2.18 -2.18
04/01/2018 06/01/2018 2 -2.42 -3.25 -1.63 -1.63
08/01/2021 10/01/2021 2 -1.73 -1.98 -0.99 -0.99
06/01/2022 10/01/2022 4 -1.73 -4.34 -1.08 -1.04
04/01/2023 07/01/2023 3 -2.1 -4.46 -1.49 -1.67
