01/01/2000 0.68
spi frequency percentage rankingpercentile
-2.6 1 0.35 2.04
-2.4 2 0.7 4.08
-2.2 3 1.05 6.12
-2.1 2 0.7 8.16
-2 1 0.35 10.2
-1.9 1 0.35 12.24
-1.8 3 1.05 14.29
-1.7 4 1.4 16.33
-1.6 2 0.7 18.37
-1.5 6 2.1 20.41
-1.4 4 1.4 22.45
-1.3 3 1.05 24.49
-1.2 6 2.1 26.53
-1.1 4 1.4 28.57
-1 6 2.1 30.61
-0.9 5 1.75 32.65
-0.8 10 3.5 34.69
-0.7 6 2.1 36.73
-0.6 7 2.45 38.78
-0.5 14 4.9 40.82
-0.4 10 3.5 42.86
-0.3 9 3.15 44.9
-0.2 10 3.5 46.94
-0.1 14 4.9 48.98
0 10 3.5 51.02
0.1 13 4.55 53.06
0.2 14 4.9 55.1
0.3 19 6.64 57.14
0.4 10 3.5 59.18
0.5 10 3.5 61.22
0.6 9 3.15 63.27
0.7 12 4.2 65.31
0.8 6 2.1 67.35
0.9 5 1.75 69.39
1 8 2.8 71.43
1.1 1 0.35 73.47
1.2 4 1.4 75.51
1.3 5 1.75 77.55
1.4 1 0.35 79.59
1.5 6 2.1 81.63
1.6 2 0.7 83.67
1.7 3 1.05 85.71
1.8 3 1.05 87.76
1.9 2 0.7 89.8
2 3 1.05 91.84
2.1 2 0.7 93.88
2.2 2 0.7 95.92
2.3 2 0.7 97.96
2.9 1 0.35 100
