01/01/2000 1.19
spi frequency percentage rankingpercentile
-2.6 2 0.7 2
-2.5 1 0.35 4
-2.2 1 0.35 6
-2.1 3 1.05 8
-2 2 0.7 10
-1.9 4 1.4 12
-1.8 1 0.35 14
-1.7 5 1.75 16
-1.6 2 0.7 18
-1.5 3 1.05 20
-1.4 3 1.05 22
-1.3 2 0.7 24
-1.2 9 3.15 26
-1.1 7 2.45 28
-1 7 2.45 30
-0.9 6 2.1 32
-0.8 5 1.75 34
-0.7 10 3.5 36
-0.6 2 0.7 38
-0.5 10 3.5 40
-0.4 9 3.15 42
-0.3 15 5.24 44
-0.2 16 5.59 46
-0.1 4 1.4 48
0 11 3.85 50
0.1 13 4.55 52
0.2 14 4.9 54
0.3 8 2.8 56
0.4 12 4.2 58
0.5 12 4.2 60
0.6 15 5.24 62
0.7 12 4.2 64
0.8 6 2.1 66
0.9 14 4.9 68
1 6 2.1 70
1.1 6 2.1 72
1.2 4 1.4 74
1.3 2 0.7 76
1.4 4 1.4 78
1.5 2 0.7 80
1.6 6 2.1 82
1.8 1 0.35 84
1.9 2 0.7 86
2.1 1 0.35 88
2.2 1 0.35 90
2.3 1 0.35 92
2.5 1 0.35 94
2.6 1 0.35 96
2.7 1 0.35 98
3.2 1 0.35 100
