01/01/2000 0.04
start_date end_date duration peak sum average median
05/01/2000 06/01/2000 1 -1.75 -1.75 -1.75 -1.75
12/01/2000 01/01/2001 1 -1.38 -1.38 -1.38 -1.38
05/01/2001 06/01/2001 1 -1.08 -1.08 -1.08 -1.08
08/01/2001 09/01/2001 1 -1.44 -1.44 -1.44 -1.44
06/01/2002 10/01/2002 4 -2.51 -3.2 -0.8 -0.33
12/01/2002 04/01/2003 4 -1.71 -3.44 -0.86 -0.75
07/01/2003 11/01/2003 4 -2.46 -5.32 -1.33 -1.03
04/01/2004 05/01/2004 1 -1.39 -1.39 -1.39 -1.39
06/01/2004 07/01/2004 1 -1.04 -1.04 -1.04 -1.04
09/01/2004 01/01/2005 4 -1.28 -2.88 -0.72 -0.76
03/01/2005 04/01/2005 1 -1.13 -1.13 -1.13 -1.13
09/01/2005 10/01/2005 1 -1.45 -1.45 -1.45 -1.45
02/01/2006 03/01/2006 1 -1.65 -1.65 -1.65 -1.65
05/01/2006 08/01/2006 3 -1.04 -2.35 -0.78 -0.66
06/01/2007 08/01/2007 2 -1.54 -1.91 -0.96 -0.96
11/01/2007 12/01/2007 1 -1.93 -1.93 -1.93 -1.93
08/01/2008 09/01/2008 1 -1.79 -1.79 -1.79 -1.79
01/01/2009 03/01/2009 2 -1.86 -2.33 -1.17 -1.17
05/01/2009 06/01/2009 1 -1.21 -1.21 -1.21 -1.21
12/01/2010 04/01/2011 4 -1.43 -3.75 -0.94 -0.99
09/01/2011 11/01/2011 2 -3.04 -4.92 -2.46 -2.46
01/01/2012 02/01/2012 1 -1.47 -1.47 -1.47 -1.47
05/01/2012 08/01/2012 3 -1.53 -3.41 -1.14 -1.52
03/01/2013 04/01/2013 1 -1.32 -1.32 -1.32 -1.32
07/01/2013 09/01/2013 2 -1.16 -1.85 -0.92 -0.92
01/01/2014 06/01/2014 5 -2.64 -5.72 -1.14 -0.94
11/01/2014 12/01/2014 1 -1.87 -1.87 -1.87 -1.87
03/01/2016 04/01/2016 1 -1.05 -1.05 -1.05 -1.05
06/01/2016 07/01/2016 1 -1.55 -1.55 -1.55 -1.55
11/01/2017 02/01/2018 3 -1.41 -2.54 -0.85 -0.91
04/01/2018 06/01/2018 2 -2.35 -3.22 -1.61 -1.61
02/01/2020 03/01/2020 1 -1.73 -1.73 -1.73 -1.73
08/01/2020 11/01/2020 3 -1.9 -2.76 -0.92 -0.79
02/01/2021 03/01/2021 1 -1.17 -1.17 -1.17 -1.17
04/01/2021 05/01/2021 1 -1.03 -1.03 -1.03 -1.03
02/01/2022 03/01/2022 1 -1.37 -1.37 -1.37 -1.37
08/01/2022 11/01/2022 3 -1.21 -2.79 -0.93 -0.83
