01/01/2000 6.2
spi frequency percentage rankingpercentile
-3.5 1 0.35 2.04
-3.3 1 0.35 4.08
-2.8 1 0.35 6.12
-2.6 2 0.7 8.16
-2.5 1 0.35 10.2
-2.2 1 0.35 12.24
-2 1 0.35 14.29
-1.9 2 0.7 16.33
-1.8 1 0.35 18.37
-1.7 3 1.05 20.41
-1.6 1 0.35 22.45
-1.5 2 0.7 24.49
-1.4 4 1.4 26.53
-1.3 4 1.4 28.57
-1.2 6 2.1 30.61
-1.1 4 1.4 32.65
-1 6 2.1 34.69
-0.9 12 4.2 36.73
-0.8 8 2.8 38.78
-0.7 11 3.85 40.82
-0.6 12 4.2 42.86
-0.5 9 3.15 44.9
-0.4 14 4.9 46.94
-0.3 11 3.85 48.98
-0.2 10 3.5 51.02
-0.1 7 2.45 53.06
0 11 3.85 55.1
0.1 12 4.2 57.14
0.2 6 2.1 59.18
0.3 9 3.15 61.22
0.4 18 6.29 63.27
0.5 4 1.4 65.31
0.6 11 3.85 67.35
0.7 12 4.2 69.39
0.8 10 3.5 71.43
0.9 10 3.5 73.47
1 6 2.1 75.51
1.1 11 3.85 77.55
1.2 6 2.1 79.59
1.3 5 1.75 81.63
1.4 4 1.4 83.67
1.5 1 0.35 85.71
1.6 1 0.35 87.76
1.7 5 1.75 89.8
1.9 2 0.7 91.84
2 3 1.05 93.88
2.2 1 0.35 95.92
2.4 2 0.7 97.96
2.8 1 0.35 100
