01/01/2000 0.8
start_date end_date duration peak sum average median
08/01/2000 09/01/2000 1 -3.37 -3.37 -3.37 -3.37
03/01/2001 04/01/2001 1 -1.56 -1.56 -1.56 -1.56
03/01/2005 08/01/2005 5 -1.87 -5.26 -1.05 -1.11
12/01/2005 04/01/2006 4 -2.75 -5.22 -1.31 -1.14
01/01/2009 02/01/2009 1 -1.69 -1.69 -1.69 -1.69
10/01/2010 11/01/2010 1 -1.93 -1.93 -1.93 -1.93
01/01/2011 02/01/2011 1 -1.59 -1.59 -1.59 -1.59
10/01/2011 11/01/2011 1 -1.83 -1.83 -1.83 -1.83
01/01/2012 02/01/2012 1 -1.81 -1.81 -1.81 -1.81
07/01/2012 08/01/2012 1 -2.44 -2.44 -2.44 -2.44
02/01/2014 06/01/2014 4 -2.09 -7.01 -1.75 -1.74
11/01/2017 02/01/2018 3 -1.75 -3.12 -1.04 -0.97
06/01/2020 07/01/2020 1 -1.73 -1.73 -1.73 -1.73
09/01/2020 10/01/2020 1 -2.15 -2.15 -2.15 -2.15
07/01/2022 11/01/2022 4 -1.76 -3.63 -0.91 -0.85
04/01/2023 08/01/2023 4 -1.99 -4.27 -1.07 -0.84
