01/01/2000 0.8
spi frequency percentage rankingpercentile
-3.4 1 0.35 2.04
-2.8 1 0.35 4.08
-2.4 1 0.35 6.12
-2.2 1 0.35 8.16
-2.1 1 0.35 10.2
-2 1 0.35 12.24
-1.9 3 1.05 14.29
-1.8 4 1.4 16.33
-1.7 3 1.05 18.37
-1.6 4 1.4 20.41
-1.5 1 0.35 22.45
-1.4 5 1.75 24.49
-1.3 2 0.7 26.53
-1.2 3 1.05 28.57
-1.1 7 2.45 30.61
-1 10 3.5 32.65
-0.9 2 0.7 34.69
-0.8 8 2.8 36.73
-0.7 14 4.9 38.78
-0.6 15 5.24 40.82
-0.5 10 3.5 42.86
-0.4 9 3.15 44.9
-0.3 9 3.15 46.94
-0.2 16 5.59 48.98
-0.1 7 2.45 51.02
0 12 4.2 53.06
0.1 14 4.9 55.1
0.2 7 2.45 57.14
0.3 11 3.85 59.18
0.4 12 4.2 61.22
0.5 8 2.8 63.27
0.6 6 2.1 65.31
0.7 15 5.24 67.35
0.8 10 3.5 69.39
0.9 7 2.45 71.43
1 2 0.7 73.47
1.1 11 3.85 75.51
1.2 3 1.05 77.55
1.3 4 1.4 79.59
1.4 4 1.4 81.63
1.5 8 2.8 83.67
1.6 2 0.7 85.71
1.7 2 0.7 87.76
1.8 3 1.05 89.8
1.9 1 0.35 91.84
2.2 1 0.35 93.88
2.4 2 0.7 95.92
2.6 1 0.35 97.96
3.1 2 0.7 100
