01/01/2000 0.36
start_date end_date duration peak sum average median
04/01/2000 06/01/2000 2 -2.19 -3.13 -1.56 -1.56
03/01/2002 04/01/2002 1 -2.01 -2.01 -2.01 -2.01
12/01/2002 04/01/2003 4 -2.06 -5.42 -1.35 -1.52
07/01/2005 08/01/2005 1 -2.05 -2.05 -2.05 -2.05
02/01/2006 03/01/2006 1 -2.45 -2.45 -2.45 -2.45
10/01/2011 11/01/2011 1 -2.27 -2.27 -2.27 -2.27
08/01/2013 10/01/2013 2 -3.42 -3.7 -1.85 -1.85
02/01/2017 03/01/2017 1 -2.04 -2.04 -2.04 -2.04
04/01/2018 08/01/2018 4 -2.86 -5.28 -1.32 -1.1
10/01/2020 11/01/2020 1 -2.11 -2.11 -2.11 -2.11
