04/01/2015 0.19
spi frequency percentage rankingpercentile
-2.1 4 3.88 2.78
-1.9 1 0.97 5.56
-1.7 2 1.94 8.33
-1.6 1 0.97 11.11
-1.5 1 0.97 13.89
-1.4 2 1.94 16.67
-1.3 2 1.94 19.44
-1.2 3 2.91 22.22
-1.1 2 1.94 25
-1 2 1.94 27.78
-0.9 2 1.94 30.56
-0.8 1 0.97 33.33
-0.7 7 6.8 36.11
-0.6 2 1.94 38.89
-0.5 1 0.97 41.67
-0.4 4 3.88 44.44
-0.3 1 0.97 47.22
-0.2 2 1.94 50
-0.1 5 4.85 52.78
0 2 1.94 55.56
0.1 8 7.77 58.33
0.2 2 1.94 61.11
0.3 5 4.85 63.89
0.4 4 3.88 66.67
0.5 7 6.8 69.44
0.6 2 1.94 72.22
0.7 6 5.83 75
0.8 3 2.91 77.78
0.9 4 3.88 80.56
1.2 1 0.97 83.33
1.3 2 1.94 86.11
1.4 3 2.91 88.89
1.5 2 1.94 91.67
1.6 3 2.91 94.44
1.7 2 1.94 97.22
1.9 2 1.94 100
