05/01/2014 3.48
spi frequency percentage rankingpercentile
-2.4 1 0.88 2.56
-2.1 1 0.88 5.13
-1.8 1 0.88 7.69
-1.7 2 1.75 10.26
-1.5 1 0.88 12.82
-1.4 5 4.39 15.38
-1.3 3 2.63 17.95
-1.2 1 0.88 20.51
-1.1 6 5.26 23.08
-1 2 1.75 25.64
-0.9 3 2.63 28.21
-0.8 3 2.63 30.77
-0.7 2 1.75 33.33
-0.6 3 2.63 35.9
-0.5 6 5.26 38.46
-0.4 1 0.88 41.03
-0.3 9 7.89 43.59
-0.2 2 1.75 46.15
-0.1 5 4.39 48.72
0 2 1.75 51.28
0.1 5 4.39 53.85
0.2 3 2.63 56.41
0.3 1 0.88 58.97
0.4 2 1.75 61.54
0.5 9 7.89 64.1
0.6 3 2.63 66.67
0.7 4 3.51 69.23
0.8 4 3.51 71.79
0.9 4 3.51 74.36
1 5 4.39 76.92
1.1 2 1.75 79.49
1.2 1 0.88 82.05
1.4 3 2.63 84.62
1.6 2 1.75 87.18
1.7 2 1.75 89.74
1.8 1 0.88 92.31
1.9 2 1.75 94.87
2.2 1 0.88 97.44
2.4 1 0.88 100
