10/01/2007 0.0
start_date end_date duration peak sum average median
11/01/2007 12/01/2007 1 -1.01 -1.01 -1.01 -1.01
03/01/2009 05/01/2009 2 -1.07 -1.16 -0.58 -0.58
08/01/2009 09/01/2009 1 -1.18 -1.18 -1.18 -1.18
08/01/2010 09/01/2010 1 -1.16 -1.16 -1.16 -1.16
10/01/2010 11/01/2010 1 -2.42 -2.42 -2.42 -2.42
12/01/2010 02/01/2011 2 -2.47 -4.19 -2.09 -2.09
04/01/2012 08/01/2012 4 -2.68 -5.36 -1.34 -1.13
02/01/2014 06/01/2014 4 -1.76 -5.28 -1.32 -1.56
08/01/2014 10/01/2014 2 -1.44 -1.7 -0.85 -0.85
02/01/2016 05/01/2016 3 -1.14 -2.6 -0.87 -0.98
07/01/2017 08/01/2017 1 -2.39 -2.39 -2.39 -2.39
09/01/2017 01/01/2018 4 -2.09 -5.45 -1.36 -1.28
09/01/2019 10/01/2019 1 -1.6 -1.6 -1.6 -1.6
08/01/2020 10/01/2020 2 -1.48 -2.18 -1.09 -1.09
02/01/2021 03/01/2021 1 -1.45 -1.45 -1.45 -1.45
06/01/2022 08/01/2022 2 -2.49 -3.07 -1.53 -1.53
04/01/2023 07/01/2023 3 -1.54 -3.11 -1.04 -0.91
